Ensembl Transcript ID	Chromosome Name	Transcript Start (bp)	Transcript End (bp)
ENSDART00000139462	21	4048090	4054743
ENSDART00000133497	16	13529541	13535256
ENSDART00000140297	16	13529768	13530554
ENSDART00000133540	18	3967884	3968806
ENSDART00000101326	3	12440711	12450736
ENSDART00000055979	3	12440712	12450736
ENSDART00000139924	19	339926	350209
ENSDART00000138837	19	342239	346639
ENSDART00000140557	23	10576183	10693485
ENSDART00000053641	19	342292	349691
ENSDART00000112445	23	10576456	10692905
ENSDART00000134198	16	6933915	6947081
ENSDART00000131575	16	6933982	6956236
ENSDART00000138330	16	6958592	6961689
ENSDART00000126445	16	6941373	6966362
ENSDART00000011166	16	6933919	6966664
ENSDART00000055972	3	12551666	12556748
ENSDART00000153548	7	3023738	3038240
ENSDART00000067293	23	4753683	4759477
ENSDART00000155733	2	414631	442961
ENSDART00000152308	12	1581494	1584168
ENSDART00000122138	2	427011	447851
ENSDART00000136399	23	4754299	4759792
ENSDART00000152127	12	1581663	1582916
ENSDART00000147086	15	8469241	8474513
ENSDART00000129050	23	4754417	4759698
ENSDART00000144536	23	4756317	4759649
ENSDART00000125129	23	4754485	4759751
ENSDART00000008893	12	5000756	5011832
ENSDART00000148687	14	835780	858118
ENSDART00000149839	14	836082	838529
ENSDART00000154093	15	6959731	6962356
ENSDART00000149375	14	846113	858120
ENSDART00000041988	14	836172	849972
ENSDART00000156581	2	3906371	3910502
ENSDART00000144079	3	1128710	1131434
ENSDART00000142964	9	27602	38672
ENSDART00000145749	19	5940190	5944533
ENSDART00000002954	9	27642	39587
ENSDART00000082133	19	5942561	5944183
ENSDART00000126123	7	942893	961354
ENSDART00000065880	21	4485283	4502537
ENSDART00000155165	2	5088477	5092588
ENSDART00000019571	18	6208514	6223090
ENSDART00000135587	18	6208514	6229857
ENSDART00000083260	2	5089269	5092304
ENSDART00000143548	18	6211834	6223114
ENSDART00000140579	8	10648147	10651549
ENSDART00000147388	8	10648392	10651389
ENSDART00000135967	8	10646980	10651385
ENSDART00000110641	12	6022617	6040033
ENSDART00000133192	8	10648214	10651099
ENSDART00000145022	8	10648174	10651026
ENSDART00000142355	8	10649382	10650433
ENSDART00000144530	8	10649309	10650190
ENSDART00000143364	5	14510877	14518072
ENSDART00000111646	5	17266480	17284907
ENSDART00000121813	21	7545668	7569955
ENSDART00000134123	4	2382639	2396926
ENSDART00000114446	5	17266499	17284894
ENSDART00000132581	4	2384112	2396944
ENSDART00000133938	8	2631922	2642276
ENSDART00000021272	21	7545668	7569956
ENSDART00000019508	4	2383922	2394735
ENSDART00000134417	4	1781643	1790656
ENSDART00000002764	8	2631922	2644829
ENSDART00000140900	8	2632685	2642242
ENSDART00000082242	4	1784931	1790555
ENSDART00000139436	9	570109	628134
ENSDART00000115030	9	570110	680639
ENSDART00000106118	22	6028979	6068515
ENSDART00000153708	25	8564734	8608193
ENSDART00000132996	24	10103827	10119748
ENSDART00000073410	25	8564866	8607907
ENSDART00000017148	13	2137586	2172613
ENSDART00000126697	13	2137852	2172612
ENSDART00000149061	3	1906047	1919636
ENSDART00000130625	17	7435404	7457606
ENSDART00000153713	7	2303267	2321985
ENSDART00000058355	7	2302939	2314049
ENSDART00000157279	15	723619	726373
ENSDART00000042194	22	4284475	4309918
ENSDART00000149545	23	1753621	1771099
ENSDART00000002690	23	1754824	1770460
ENSDART00000156089	17	5599017	5599403
ENSDART00000009549	20	13929587	13968857
ENSDART00000152347	20	13941627	13942451
ENSDART00000152293	20	13942088	13942809
ENSDART00000124643	6	9306393	9325605
ENSDART00000122916	20	13929594	13968833
ENSDART00000151317	6	9315246	9319786
ENSDART00000151142	6	9318278	9320408
ENSDART00000144162	22	9897217	9899954
ENSDART00000012903	6	8080423	8096175
ENSDART00000129985	22	9893184	9900035
ENSDART00000092690	3	1880241	1904031
ENSDART00000143357	15	6812885	6830476
ENSDART00000137194	15	6812912	6830470
ENSDART00000142005	15	6813133	6830476
ENSDART00000129421	15	6813156	6830474
ENSDART00000150572	15	6827863	6830452
ENSDART00000021976	21	4041162	4047784
ENSDART00000157357	4	968170	1012667
ENSDART00000045183	20	13318055	13356741
ENSDART00000136567	20	6695199	6771620
ENSDART00000138361	20	6735519	6757387
ENSDART00000135390	20	6768523	6770875
ENSDART00000109818	3	14673155	14684920
ENSDART00000044368	20	6656317	6772158
ENSDART00000136302	3	4720041	4721507
ENSDART00000139835	3	14673461	14685033
ENSDART00000142037	3	12416701	12418975
ENSDART00000155326	23	14040336	14044608
ENSDART00000123002	3	14673001	14686568
ENSDART00000023851	2	11639815	11703652
ENSDART00000103601	4	444235	467256
ENSDART00000150276	4	457986	459769
ENSDART00000127350	20	13318059	13435784
ENSDART00000152331	20	13352072	13356213
ENSDART00000131311	20	13377487	13406118
ENSDART00000137431	20	13377621	13388430
ENSDART00000034707	23	569612	583399
ENSDART00000152395	20	13400559	13432761
ENSDART00000137750	13	8018576	8018904
ENSDART00000144307	24	2381315	2415101
ENSDART00000093331	24	2383182	2415178
ENSDART00000054989	1	7738614	7744635
ENSDART00000144722	10	207421	211738
ENSDART00000131783	10	207597	210338
ENSDART00000141723	10	209364	211738
ENSDART00000147674	10	209398	211355
ENSDART00000100073	10	209364	221073
ENSDART00000155149	25	9883157	9892667
ENSDART00000106236	22	1611548	1631349
ENSDART00000134852	22	1626971	1628534
ENSDART00000137163	22	1626971	1628611
ENSDART00000146827	5	14771134	14772113
ENSDART00000106235	22	1497655	1632207
ENSDART00000141155	20	12822007	12823899
ENSDART00000054460	14	22333789	22337652
ENSDART00000030995	9	11852734	11863302
ENSDART00000081840	15	2622695	2624165
ENSDART00000110245	9	11852745	11863246
ENSDART00000155514	11	25753183	25756838
ENSDART00000143683	16	13410869	13430977
ENSDART00000007842	16	14545332	14561307
ENSDART00000146997	16	14546869	14561294
ENSDART00000154719	15	15954405	16043794
ENSDART00000154923	15	15958158	15965139
ENSDART00000053868	2	5709761	5734452
ENSDART00000156768	15	15996799	16029373
ENSDART00000145244	2	5709771	5714052
ENSDART00000014465	15	15954406	16043531
ENSDART00000151622	6	9997884	10001580
ENSDART00000135443	11	25754101	25785015
ENSDART00000137575	7	20390921	20468548
ENSDART00000058729	11	25754359	25784291
ENSDART00000131208	22	2966311	2970698
ENSDART00000156716	6	1959018	1966970
ENSDART00000152489	12	5381039	5398904
ENSDART00000155659	6	1964429	1967487
ENSDART00000110104	12	5385666	5398904
ENSDART00000123015	12	5385666	5401175
ENSDART00000073936	6	1958670	1966972
ENSDART00000144395	22	9934671	9936619
ENSDART00000110201	19	3947244	4059578
ENSDART00000141681	19	4051994	4059167
ENSDART00000109854	4	5441937	5468486
ENSDART00000144129	19	3958494	3996921
ENSDART00000151468	19	3949318	3958099
ENSDART00000132431	4	5460432	5470416
ENSDART00000090406	7	20393171	20543395
ENSDART00000136229	4	5460864	5471051
ENSDART00000136262	13	3887152	3901596
ENSDART00000084264	16	10603007	10711101
ENSDART00000017349	4	5460438	5471073
ENSDART00000154407	15	16233077	16239241
ENSDART00000103180	4	5460418	5470523
ENSDART00000102694	13	3887182	3958198
ENSDART00000025146	19	642500	656417
ENSDART00000080939	15	13555482	13566978
ENSDART00000115001	25	1608386	1616946
ENSDART00000155287	4	4412934	4464998
ENSDART00000153535	4	4418920	4443516
ENSDART00000082070	4	4413229	4443186
ENSDART00000134001	13	6846633	6850319
ENSDART00000088322	13	6846676	6864424
ENSDART00000133541	18	6990102	7002541
ENSDART00000048095	3	11437439	11483866
ENSDART00000143138	13	8478001	8481116
ENSDART00000101296	18	6985452	7002587
ENSDART00000125353	18	15810942	15838297
ENSDART00000155975	3	11437956	11449959
ENSDART00000155152	3	11475665	11483866
ENSDART00000122518	3	11437441	11483866
ENSDART00000155329	17	11939217	11998882
ENSDART00000126501	17	11952184	12001155
ENSDART00000135112	1	6518806	6528669
ENSDART00000145214	24	12887567	12892979
ENSDART00000146911	24	12887583	12892980
ENSDART00000066700	24	12887591	12892982
ENSDART00000154967	11	1622407	1685963
ENSDART00000110152	11	24199536	24231571
ENSDART00000009788	11	3585467	3597690
ENSDART00000016139	1	6518806	6541068
ENSDART00000132217	1	6519130	6520114
ENSDART00000123563	1	6534592	6541073
ENSDART00000017593	9	13990611	14005169
ENSDART00000145503	9	13990643	13998837
ENSDART00000121997	17	8725290	8732213
ENSDART00000131824	9	13990643	14005168
ENSDART00000122749	9	13998124	14005158
ENSDART00000141646	23	12179208	12213067
ENSDART00000121928	23	12180064	12212443
ENSDART00000016430	13	15911857	15948447
ENSDART00000105174	19	3700047	3730407
ENSDART00000139098	21	2482751	2503335
ENSDART00000074620	19	3715990	3730260
ENSDART00000082395	21	2474996	2503430
ENSDART00000042377	13	15912157	15948394
ENSDART00000145710	19	3715978	3730260
ENSDART00000046079	13	15912157	15948394
ENSDART00000110763	19	3714604	3730258
ENSDART00000114284	19	358591	363093
ENSDART00000067390	4	5053899	5056586
ENSDART00000050481	13	15912157	15948394
ENSDART00000079724	13	15912157	15948394
ENSDART00000104716	6	13515596	13598177
ENSDART00000138312	13	11155907	11157538
ENSDART00000154396	15	14648521	14684694
ENSDART00000134652	23	11981767	12121159
ENSDART00000034545	22	7518342	7521632
ENSDART00000147956	23	12010035	12121100
ENSDART00000143481	23	11970451	11977190
ENSDART00000110627	23	11970454	12027300
ENSDART00000008535	16	14563893	14573189
ENSDART00000124875	16	14564328	14573413
ENSDART00000141765	1	6938757	6946420
ENSDART00000154425	11	308032	309009
ENSDART00000151053	6	10430242	10433173
ENSDART00000144582	1	6938743	6944106
ENSDART00000109091	11	283725	309007
ENSDART00000151123	6	10447279	10447642
ENSDART00000156284	1	6944457	6947873
ENSDART00000089713	11	25363482	25392345
ENSDART00000145184	8	4634685	4644568
ENSDART00000135464	8	4636157	4644836
ENSDART00000151847	17	11241382	11281965
ENSDART00000132540	8	4636178	4643375
ENSDART00000111318	22	16535779	16570512
ENSDART00000090468	22	16535779	16570512
ENSDART00000064412	17	11255075	11281925
ENSDART00000082025	8	4636184	4644829
ENSDART00000103228	17	11258143	11281316
ENSDART00000128291	17	11241391	11280894
ENSDART00000022920	17	10280426	10283287
ENSDART00000081193	23	10459149	10461780
ENSDART00000075759	14	22125134	22142335
ENSDART00000058527	20	22786153	22894229
ENSDART00000131132	20	22786270	23008792
ENSDART00000146728	3	14176506	14210811
ENSDART00000140765	22	2446934	2452600
ENSDART00000141368	5	22477052	22479231
ENSDART00000092647	22	4880634	4936478
ENSDART00000098684	5	22475801	22479138
ENSDART00000156743	25	5039042	5052306
ENSDART00000109207	25	5039423	5052122
ENSDART00000132699	21	9989897	10078503
ENSDART00000147422	12	16323839	16408597
ENSDART00000080348	19	7775502	7780775
ENSDART00000133171	21	9990613	9999635
ENSDART00000103293	4	4803655	4805868
ENSDART00000138989	21	9999591	10000620
ENSDART00000137942	4	4803660	4805773
ENSDART00000134105	13	3860308	3868493
ENSDART00000029572	12	16369026	16407653
ENSDART00000113986	13	3846564	3870433
ENSDART00000139814	21	10028144	10079021
ENSDART00000135937	21	10028145	10070935
ENSDART00000148097	21	10029620	10070944
ENSDART00000138619	21	10029683	10056501
ENSDART00000111365	13	9090684	9125315
ENSDART00000141297	21	10029722	10081052
ENSDART00000064511	17	12573842	12576188
ENSDART00000140704	13	9117027	9122018
ENSDART00000144770	21	10031761	10056556
ENSDART00000153907	13	9090700	9125315
ENSDART00000136308	21	10031772	10056537
ENSDART00000133443	21	10031776	10070960
ENSDART00000144370	21	10033258	10079019
ENSDART00000139289	21	10036138	10079028
ENSDART00000131448	21	10036156	10070937
ENSDART00000135858	21	10048306	10056515
ENSDART00000081614	21	9991040	10078471
ENSDART00000154062	7	3153952	3186202
ENSDART00000110852	7	3157437	3186200
ENSDART00000035967	19	7777036	7793210
ENSDART00000041619	7	24149000	24158493
ENSDART00000152077	19	7777037	7778235
ENSDART00000013363	18	24857679	24960925
ENSDART00000134116	7	24149292	24158398
ENSDART00000139402	19	7783780	7784508
ENSDART00000021657	14	23501722	23526764
ENSDART00000122449	7	24149053	24171790
ENSDART00000135245	16	15569921	15577397
ENSDART00000080664	20	10151617	10161149
ENSDART00000124529	20	20785545	20794779
ENSDART00000143891	14	18587710	18605734
ENSDART00000153063	2	9759839	9771857
ENSDART00000145393	14	18601866	18605664
ENSDART00000043499	2	9762584	9772558
ENSDART00000091901	11	10896554	10914930
ENSDART00000138385	5	14834207	14836121
ENSDART00000131710	14	18602094	18605523
ENSDART00000112032	12	2711596	2757229
ENSDART00000151794	18	2472837	2489538
ENSDART00000139715	19	9156525	9159010
ENSDART00000153323	2	9762778	9771850
ENSDART00000101918	15	14464128	14468944
ENSDART00000090191	16	15570164	15597418
ENSDART00000144970	20	10286195	10307528
ENSDART00000081554	19	9156837	9157521
ENSDART00000148252	14	18588277	18605319
ENSDART00000143510	20	10301114	10305083
ENSDART00000151817	18	2472887	2485443
ENSDART00000033976	20	10286195	10305814
ENSDART00000151332	18	2472887	2489534
ENSDART00000150892	18	2472939	2488529
ENSDART00000030444	5	12929285	12952804
ENSDART00000151221	18	2472941	2485399
ENSDART00000142337	20	9533904	9599255
ENSDART00000151651	18	2472973	2489051
ENSDART00000141271	20	9533962	9536122
ENSDART00000064130	20	9569717	9599254
ENSDART00000134656	2	1185331	1301657
ENSDART00000140240	13	8602850	8606033
ENSDART00000003273	5	9540987	9554968
ENSDART00000131336	22	3081523	3089853
ENSDART00000106483	22	3081589	3089850
ENSDART00000134694	10	8959953	8970611
ENSDART00000139516	1	8194184	8194755
ENSDART00000141045	10	8965680	8974690
ENSDART00000122223	10	8951527	8974687
ENSDART00000137456	10	19057208	19113202
ENSDART00000081337	1	8194184	8199549
ENSDART00000111952	10	19069754	19122836
ENSDART00000121598	13	5655889	5665403
ENSDART00000102563	13	5655874	5679048
ENSDART00000136689	13	9002019	9021291
ENSDART00000081909	8	12060384	12063707
ENSDART00000058065	13	8982107	9021722
ENSDART00000133932	8	12060436	12067804
ENSDART00000148217	8	12065535	12067805
ENSDART00000080472	14	18508083	18522968
ENSDART00000146609	9	7123093	7130819
ENSDART00000132908	8	15825821	16510926
ENSDART00000105168	19	3800319	3803134
ENSDART00000151746	8	16150095	16510873
ENSDART00000132005	8	16470394	16507615
ENSDART00000134224	18	8436830	8511408
ENSDART00000110497	4	5538431	5564506
ENSDART00000047309	18	8436830	8480602
ENSDART00000155821	2	11810646	11871023
ENSDART00000024027	17	2611654	2612733
ENSDART00000111094	2	11862531	11868932
ENSDART00000018735	18	5943008	5955293
ENSDART00000110337	2	11810785	11853432
ENSDART00000147404	21	4960796	4965777
ENSDART00000009499	13	12863008	12900008
ENSDART00000133106	19	6354742	6392621
ENSDART00000114539	19	6368605	6388035
ENSDART00000089017	12	14450940	14495828
ENSDART00000144223	12	14458305	14461620
ENSDART00000132469	8	21520407	21534933
ENSDART00000023568	7	33311274	33355368
ENSDART00000134521	7	33352428	33356363
ENSDART00000152442	1	1653523	1656634
ENSDART00000139418	1	1655695	1656629
ENSDART00000052423	1	4170919	4175021
ENSDART00000137296	8	10892314	10895927
ENSDART00000040380	15	13572295	13595148
ENSDART00000146306	8	7713715	7765578
ENSDART00000041794	8	7730533	7770153
ENSDART00000142150	8	12857779	12920609
ENSDART00000147242	8	12859970	12882273
ENSDART00000113286	8	12857501	12914333
ENSDART00000043658	13	28640899	28665688
ENSDART00000147572	25	15644092	15708500
ENSDART00000090330	25	15649346	15708494
ENSDART00000144456	3	4729328	4730332
ENSDART00000057839	3	4728568	4732949
ENSDART00000148692	22	616511	626888
ENSDART00000156595	11	7497053	7501969
ENSDART00000149461	7	15509777	15567384
ENSDART00000126011	7	15510009	15629157
ENSDART00000110683	11	7497028	7502275
ENSDART00000123487	22	793038	797669
ENSDART00000122722	22	793110	797597
ENSDART00000123089	4	1630121	1635407
ENSDART00000156968	13	13114396	13155654
ENSDART00000156954	23	2801266	2802261
ENSDART00000019705	24	7974762	8049198
ENSDART00000103463	4	1630217	1645108
ENSDART00000139467	24	7998269	8023823
ENSDART00000013534	13	13087865	13147322
ENSDART00000135781	23	2835987	2882866
ENSDART00000125883	13	13087865	13147322
ENSDART00000079130	12	18504453	18523632
ENSDART00000036472	24	705014	712135
ENSDART00000142589	17	24430790	24432082
ENSDART00000022045	23	2802036	2880768
ENSDART00000138186	5	21579305	21616638
ENSDART00000111103	3	22212067	22214047
ENSDART00000008603	13	10186453	10212378
ENSDART00000150519	4	8886299	8898578
ENSDART00000017777	4	8896784	8898022
ENSDART00000126498	4	8893583	8896195
ENSDART00000138801	21	2599557	2609305
ENSDART00000066620	19	5963567	5970133
ENSDART00000101741	13	15636631	15654036
ENSDART00000151398	19	5968716	5970135
ENSDART00000082519	11	493230	527017
ENSDART00000010986	13	15636050	15654036
ENSDART00000139124	13	15639412	15654059
ENSDART00000144445	13	15639412	15656647
ENSDART00000150890	8	470895	473178
ENSDART00000150777	25	4288828	4291348
ENSDART00000146069	13	15639468	15650966
ENSDART00000041269	6	13690806	13694235
ENSDART00000028606	25	4286391	4311451
ENSDART00000152353	12	3858415	3861563
ENSDART00000150102	6	13691193	13694235
ENSDART00000122684	12	3858416	3858918
ENSDART00000145727	16	13568133	13575310
ENSDART00000148637	6	13691409	13694234
ENSDART00000149536	6	13692601	13694205
ENSDART00000141208	16	20982629	20984020
ENSDART00000155685	6	12111414	12208090
ENSDART00000146547	2	6918043	6939984
ENSDART00000110998	6	12112274	12187751
ENSDART00000110689	2	6921577	6939984
ENSDART00000087242	19	37348	38889
ENSDART00000152742	12	15244384	15249388
ENSDART00000151243	19	37365	38887
ENSDART00000026098	7	21949415	21966407
ENSDART00000143509	7	21959975	21966392
ENSDART00000138028	20	19247191	19269016
ENSDART00000020099	20	19250477	19268058
ENSDART00000154771	3	7159265	7166041
ENSDART00000105015	3	7165649	7166970
ENSDART00000104790	20	217311	232690
ENSDART00000035693	23	10911416	10933647
ENSDART00000121728	3	15849892	15852423
ENSDART00000132421	23	10920258	10920725
ENSDART00000137396	3	15849908	15852263
ENSDART00000043162	14	22597983	22619272
ENSDART00000146554	19	770242	775540
ENSDART00000138406	19	770281	772106
ENSDART00000135618	4	587564	606455
ENSDART00000021504	1	7610782	7616134
ENSDART00000147227	22	13241029	13251615
ENSDART00000006961	4	592040	606404
ENSDART00000149612	8	940547	964236
ENSDART00000058674	8	946585	963757
ENSDART00000002770	4	14022752	14033465
ENSDART00000148292	4	14022860	14033025
ENSDART00000111882	4	14022859	14034030
ENSDART00000102876	9	3487274	3492998
ENSDART00000146953	16	15370703	15371690
ENSDART00000136599	9	3487281	3493029
ENSDART00000148980	16	8907768	8911968
ENSDART00000104130	16	8909051	8911137
ENSDART00000017191	12	6074362	6077882
ENSDART00000155320	4	3309381	3317629
ENSDART00000122605	4	3304148	3317160
ENSDART00000155300	17	20813951	20879413
ENSDART00000082385	25	3397835	3403479
ENSDART00000034686	9	24929056	24939550
ENSDART00000131953	9	24929138	24937761
ENSDART00000059961	18	22774824	22852023
ENSDART00000088242	17	20816372	20879078
ENSDART00000141521	18	22836511	22852023
ENSDART00000114906	3	21493719	21561539
ENSDART00000148717	20	33800	37643
ENSDART00000129277	20	30372	37622
ENSDART00000145866	3	6165408	6181759
ENSDART00000009883	3	6165465	6181759
ENSDART00000157017	2	3536257	3566317
ENSDART00000142876	2	18561839	18564712
ENSDART00000156188	2	3545997	3555980
ENSDART00000126431	2	3546016	3567452
ENSDART00000139879	2	18562782	18564685
ENSDART00000124170	15	571089	575029
ENSDART00000079856	2	18561839	18564712
ENSDART00000132578	9	11161903	11163586
ENSDART00000091835	21	9791262	9807117
ENSDART00000111024	6	6767670	6839105
ENSDART00000151694	6	6811043	6817498
ENSDART00000150839	12	4330735	4346535
ENSDART00000129668	12	4330878	4343261
ENSDART00000013278	15	6672373	6693579
ENSDART00000136180	2	5483498	5526794
ENSDART00000083272	2	5486084	5527479
ENSDART00000082425	11	3909992	3922643
ENSDART00000136311	11	3909992	3916126
ENSDART00000082420	11	3909993	3916125
ENSDART00000091617	11	8192703	8272281
ENSDART00000135478	18	30074074	30076046
ENSDART00000101561	11	8127302	8261265
ENSDART00000148186	18	30074049	30076039
ENSDART00000140533	18	30074077	30076109
ENSDART00000137446	18	30074077	30074830
ENSDART00000141736	8	21532451	21541466
ENSDART00000061726	25	17855351	17863129
ENSDART00000140360	25	17855424	17859502
ENSDART00000137902	16	22955445	22964635
ENSDART00000006429	16	22955451	22973946
ENSDART00000132407	16	22955474	22971854
ENSDART00000131452	16	22958153	22958930
ENSDART00000147799	23	14973677	15101909
ENSDART00000027720	25	4850245	4863511
ENSDART00000137900	1	7841708	7993986
ENSDART00000052803	18	6890467	6911422
ENSDART00000103652	1	7839804	7983514
ENSDART00000144579	23	15022098	15101965
ENSDART00000136010	25	4855863	4861656
ENSDART00000131940	18	6897803	6910817
ENSDART00000138197	23	15022190	15101965
ENSDART00000081429	18	6894081	6896710
ENSDART00000144965	23	14944535	15049091
ENSDART00000079012	25	21769145	21785683
ENSDART00000054469	19	9229419	9230809
ENSDART00000145164	23	14945723	14979126
ENSDART00000139847	22	2293364	2298048
ENSDART00000139542	23	14945653	14970592
ENSDART00000017488	25	21769460	21785502
ENSDART00000126763	22	2297789	2301104
ENSDART00000134979	23	14945463	14959335
ENSDART00000149733	25	21774092	21776208
ENSDART00000109564	22	2297433	2298715
ENSDART00000143553	23	14945211	14959022
ENSDART00000147636	23	14945122	14958828
ENSDART00000010258	23	14944541	15049091
ENSDART00000136936	16	7042613	7129709
ENSDART00000155957	17	8023441	8051060
ENSDART00000142161	16	7077140	7113824
ENSDART00000139078	8	8276901	8289283
ENSDART00000110443	10	9058688	9066465
ENSDART00000127462	8	8280581	8290354
ENSDART00000085678	16	7044499	7107463
ENSDART00000080772	10	9058709	9067308
ENSDART00000154041	15	3990204	4023236
ENSDART00000091818	17	8028605	8049468
ENSDART00000040116	1	9638795	9649733
ENSDART00000045474	15	3990979	4015001
ENSDART00000106209	14	21902256	21909303
ENSDART00000092416	18	7102776	7112095
ENSDART00000154673	3	24453110	24462471
ENSDART00000132369	18	7102865	7103501
ENSDART00000081700	15	5097067	5097984
ENSDART00000004585	19	1979655	1994820
ENSDART00000014168	20	9756205	9761277
ENSDART00000141528	22	15697633	15708541
ENSDART00000123001	14	19668926	19714971
ENSDART00000020740	14	19668950	19714970
ENSDART00000088199	9	12681353	12701026
ENSDART00000135447	9	12681878	12701023
ENSDART00000132334	22	15711146	15715344
ENSDART00000099446	9	19494082	19495643
ENSDART00000090936	22	15697847	15715249
ENSDART00000031508	14	5391971	5395171
ENSDART00000014721	20	16245544	16263709
ENSDART00000152281	20	16253344	16263616
ENSDART00000152364	20	16255309	16263631
ENSDART00000135385	25	13437658	13443593
ENSDART00000080445	14	18567252	18586988
ENSDART00000092258	23	3526865	3534787
ENSDART00000129076	14	18567257	18587004
ENSDART00000132898	23	16640248	16696416
ENSDART00000112436	23	16601418	16696416
ENSDART00000054659	23	20257506	20265764
ENSDART00000058878	1	1817216	1818205
ENSDART00000077176	23	18949761	18965279
ENSDART00000154833	16	23016015	23018986
ENSDART00000157383	16	23016395	23019167
ENSDART00000152679	16	23016395	23019167
ENSDART00000157249	16	23016395	23019937
ENSDART00000126264	23	19170230	19185744
ENSDART00000122420	23	18954564	19185371
ENSDART00000078154	14	31506584	31512448
ENSDART00000146066	10	4956754	4965331
ENSDART00000137281	21	6918203	6920061
ENSDART00000050177	10	4944167	4965325
ENSDART00000106188	24	19433056	19468998
ENSDART00000144244	24	19444974	19468989
ENSDART00000134518	24	19459444	19468984
ENSDART00000100644	24	12592132	12636552
ENSDART00000142481	11	12802576	12826558
ENSDART00000081335	11	12802549	12826559
ENSDART00000063157	22	11609870	11630555
ENSDART00000127581	10	11756777	11806249
ENSDART00000136331	11	12802567	12810293
ENSDART00000081188	22	10862661	10866197
ENSDART00000101032	10	11756201	11806249
ENSDART00000008144	11	12802602	12826558
ENSDART00000131059	11	12802559	12826557
ENSDART00000145865	13	25077468	25078063
ENSDART00000136757	20	19310542	19337715
ENSDART00000063706	20	19285726	19344032
ENSDART00000110495	19	530667	565004
ENSDART00000064801	22	10564753	10570030
ENSDART00000140674	16	12899764	12926662
ENSDART00000149808	19	545938	550688
ENSDART00000077862	16	12870558	12926688
ENSDART00000156306	15	9252646	9319765
ENSDART00000055829	15	9256547	9319373
ENSDART00000105956	24	15801850	16040702
ENSDART00000143160	24	15559366	15573343
ENSDART00000042943	24	15558551	15573189
ENSDART00000157157	11	27603282	27617270
ENSDART00000074853	11	27609929	27617243
ENSDART00000126090	11	27604328	27607625
ENSDART00000109138	14	7015235	7018245
ENSDART00000149049	14	7015310	7016718
ENSDART00000138183	4	14146777	14169038
ENSDART00000000019	4	14146902	14169064
ENSDART00000149518	7	13809355	13827163
ENSDART00000009385	14	31623295	31629132
ENSDART00000102458	7	13809578	13826864
ENSDART00000137782	14	31623369	31629132
ENSDART00000104216	25	17753495	17760328
ENSDART00000075420	9	4615664	4616695
ENSDART00000109004	15	14475551	14479148
ENSDART00000156835	15	14475644	14478348
ENSDART00000155708	15	14475925	14478674
ENSDART00000140363	25	30142072	30180071
ENSDART00000128081	15	14475952	14487020
ENSDART00000089024	8	19461548	19576851
ENSDART00000024013	25	30145703	30180070
ENSDART00000129040	25	30026828	30180180
ENSDART00000135846	24	23850262	23928171
ENSDART00000112256	24	23850262	23912668
ENSDART00000104979	6	8625868	8632725
ENSDART00000141898	12	17158557	17173902
ENSDART00000123020	12	17161135	17173899
ENSDART00000151412	6	8630586	8631486
ENSDART00000151542	6	8631528	8632744
ENSDART00000020861	9	3133570	3148404
ENSDART00000016860	15	20706322	20734481
