#>P	WBGene00006436	W06H8.8g	W06H8.8g	V	6121580	6202533	-1	TiTiN family  [Source:RefSeq peptide;Acc:NP_001024198]
#>E	W06H8.8g.e66,W06H8.8g.e65,W06H8.8e.1.e64,W06H8.8e.1.e63,W06H8.8e.1.e62,W06H8.8e.1.e61,W06H8.8e.1.e60,W06H8.8e.1.e59,W06H8.8e.1.e58,W06H8.8e.1.e57,W06H8.8e.1.e56,W06H8.8e.1.e55,W06H8.8e.1.e54,W06H8.8e.1.e53,W06H8.8e.1.e52,W06H8.8e.1.e51,W06H8.8e.1.e50,W06H8.8e.1.e49,W06H8.8e.1.e48,W06H8.8e.1.e47,W06H8.8e.1.e46,W06H8.8e.1.e45,W06H8.8e.1.e44,W06H8.8e.1.e43,W06H8.8e.1.e42,W06H8.8e.1.e41,W06H8.8e.1.e40,W06H8.8e.1.e39,W06H8.8e.1.e38,W06H8.8e.1.e37,W06H8.8e.1.e36,W06H8.8e.1.e35,W06H8.8e.1.e34,W06H8.8e.1.e33,W06H8.8d.e33,W06H8.8d.e32,W06H8.8d.e31,W06H8.8d.e30,W06H8.8d.e29,W06H8.8e.1.e27,W06H8.8d.e26,W06H8.8d.e25,W06H8.8d.e24,W06H8.8d.e23,W06H8.8d.e22,W06H8.8d.e21,W06H8.8d.e20,W06H8.8d.e19,W06H8.8d.e18,W06H8.8d.e17,W06H8.8d.e16,W06H8.8d.e15,W06H8.8d.e14,W06H8.8c.e13,W06H8.8c.e12,W06H8.8c.e11,W06H8.8c.e10,W06H8.8c.e9,W06H8.8c.e8,W06H8.8c.e7,W06H8.8c.e6,W06H8.8a.e6,W06H8.8a.e4,W06H8.8a.e3,W06H8.8a.e2,W06H8.8a.e1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1	6121577-6121636,6121683-6121750,6121812-6121958,6122005-6122084,6122133-6122198,6122247-6122386,6122431-6122603,6122651-6122759,6122810-6122972,6123038-6123099,6123145-6123262,6123307-6123413,6123465-6123575,6123642-6123725,6123771-6129184,6129229-6129400,6129492-6129536,6129584-6130666,6130915-6131049,6133050-6133172,6134453-6134523,6144022-6144180,6144360-6144575,6144977-6149321,6149443-6149676,6149891-6153688,6153899-6154012,6154121-6154800,6154949-6155099,6155145-6155993,6156155-6160907,6161202-6161286,6161335-6161394,6161647-6161691,6164440-6164941,6165182-6165534,6165579-6169810,6170229-6171078,6171123-6171225,6171507-6183723,6183768-6183890,6184790-6184963,6185011-6185117,6185161-6185623,6185928-6186031,6186082-6186277,6186326-6186748,6187308-6187631,6187678-6187870,6187914-6189410,6189461-6189626,6190351-6190460,6190842-6191105,6191688-6195647,6196227-6196366,6196429-6197402,6197463-6197974,6198021-6198166,6198323-6198492,6198551-6199512,6199641-6200918,6201052-6201291,6201486-6201836,6201888-6202026,6202074-6202345,6202410-6202533
V	6129587	6130351	-1	Prot_kinase_dom	232.6	6129587-6130351	PF00069	http://pfam.xfam.org/family/PF00069
V	6169567	6170242	-1	Ig_I-set	1954.4	6169567-6169810,6170229-6170242	PF07679	http://pfam.xfam.org/family/PF07679
V	6131047	6144079	-1	Ig_I-set	1954.4	6131047-6131049,6133050-6133172,6134453-6134523,6144022-6144079	PF07679	http://pfam.xfam.org/family/PF07679
V	6148140	6148409	-1	Ig_I-set	1954.4	6148140-6148409	PF07679	http://pfam.xfam.org/family/PF07679
V	6154977	6155288	-1	Ig_I-set	1954.4	6154977-6155099,6155145-6155288	PF07679	http://pfam.xfam.org/family/PF07679
V	6126900	6127178	-1	Ig_I-set	1954.4	6126900-6127178	PF07679	http://pfam.xfam.org/family/PF07679
V	6198815	6199033	-1	Ig_I-set	1954.4	6198815-6199033	PF07679	http://pfam.xfam.org/family/PF07679
V	6149978	6150184	-1	Ig_I-set	1954.4	6149978-6150184	PF07679	http://pfam.xfam.org/family/PF07679
V	6149319	6149899	-1	Ig_I-set	1954.4	6149319-6149321,6149443-6149676,6149891-6149899	PF07679	http://pfam.xfam.org/family/PF07679
V	6124365	6124628	-1	Ig_I-set	1954.4	6124365-6124628	PF07679	http://pfam.xfam.org/family/PF07679
V	6200566	6200826	-1	Ig_I-set	1954.4	6200566-6200826	PF07679	http://pfam.xfam.org/family/PF07679
V	6128508	6128780	-1	Ig_I-set	1954.4	6128508-6128780	PF07679	http://pfam.xfam.org/family/PF07679
V	6144119	6144564	-1	Ig_I-set	1954.4	6144119-6144180,6144360-6144564	PF07679	http://pfam.xfam.org/family/PF07679
V	6128895	6129170	-1	Ig_I-set	1954.4	6128895-6129170	PF07679	http://pfam.xfam.org/family/PF07679
V	6125340	6125603	-1	Ig_I-set	1954.4	6125340-6125603	PF07679	http://pfam.xfam.org/family/PF07679
V	6125628	6125900	-1	Ig_I-set	1954.4	6125628-6125900	PF07679	http://pfam.xfam.org/family/PF07679
V	6126591	6126857	-1	Ig_I-set	1954.4	6126591-6126857	PF07679	http://pfam.xfam.org/family/PF07679
V	6186148	6186429	-1	Ig_I-set	1954.4	6186148-6186277,6186326-6186429	PF07679	http://pfam.xfam.org/family/PF07679
V	6121831	6122182	-1	Ig_I-set	1954.4	6121831-6121958,6122005-6122084,6122133-6122182	PF07679	http://pfam.xfam.org/family/PF07679
V	6199175	6199456	-1	Ig_I-set	1954.4	6199175-6199456	PF07679	http://pfam.xfam.org/family/PF07679
V	6186613	6187438	-1	Ig_I-set	1954.4	6186613-6186748,6187308-6187438	PF07679	http://pfam.xfam.org/family/PF07679
V	6155475	6155750	-1	Ig_I-set	1954.4	6155475-6155750	PF07679	http://pfam.xfam.org/family/PF07679
V	6127215	6127484	-1	Ig_I-set	1954.4	6127215-6127484	PF07679	http://pfam.xfam.org/family/PF07679
V	6127587	6127859	-1	Ig_I-set	1954.4	6127587-6127859	PF07679	http://pfam.xfam.org/family/PF07679
