#>P	WBGene00006759	ZK617.1b.2	ZK617.1b.2	IV	11973654	12010880	-1	Twitchin  [Source:UniProtKB/Swiss-Prot;Acc:Q23551]
#>E	ZK617.1a.2.e31,ZK617.1a.1.e30,ZK617.1a.1.e29,ZK617.1a.1.e28,ZK617.1a.1.e27,ZK617.1a.1.e26,ZK617.1a.1.e25,ZK617.1a.1.e24,ZK617.1a.1.e23,ZK617.1a.1.e22,ZK617.1a.1.e21,ZK617.1a.1.e20,ZK617.1a.1.e19,ZK617.1a.1.e18,ZK617.1a.1.e17,ZK617.1a.1.e16,ZK617.1a.1.e15,ZK617.1a.1.e14,ZK617.1b.1.e16,ZK617.1a.1.e13,ZK617.1b.1.e14,ZK617.1b.1.e13,ZK617.1a.1.e12,ZK617.1a.1.e11,ZK617.1a.1.e10,ZK617.1a.1.e9,ZK617.1a.1.e8,ZK617.1a.1.e7,ZK617.1a.1.e6,ZK617.1a.1.e5,ZK617.1a.1.e4,ZK617.1a.1.e3,ZK617.1a.1.e2,ZK617.1a.1.e1	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11973651-11973746,11974056-11974153,11974201-11974453,11974513-11976129,11976183-11985796,11985843-11986224,11986277-11986500,11986550-11986834,11986885-11987045,11987093-11988537,11988585-11989621,11989671-11992289,11992344-11992566,11992930-11993095,11993473-11993588,11993881-11994041,11994094-11994178,11994227-11994280,11994770-11995108,11995254-11995328,11995721-11996248,11996307-11996396,11996801-11996863,11997773-11997868,12005262-12005363,12005443-12005579,12005764-12005936,12006615-12006691,12006921-12007290,12007736-12007998,12008052-12008151,12008199-12008419,12009206-12009358,12010827-12010880
IV	11975995	11976815	-1	Prot_kinase_dom	226.7	11975995-11976129,11976183-11976815	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
IV	11979045	11979299	-1	FN3_dom	1566.2	11979045-11979299	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11980548	11980784	-1	FN3_dom	1566.2	11980548-11980784	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11982306	11982560	-1	FN3_dom	1566.2	11982306-11982560	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11987848	11988063	-1	FN3_dom	1566.2	11987848-11988063	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11985877	11986113	-1	FN3_dom	1566.2	11985877-11986113	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11979348	11979599	-1	FN3_dom	1566.2	11979348-11979599	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11982621	11982866	-1	FN3_dom	1566.2	11982621-11982866	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11986922	11987217	-1	FN3_dom	1566.2	11986922-11987045,11987093-11987217	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11990008	11990256	-1	FN3_dom	1566.2	11990008-11990256	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11988771	11988998	-1	FN3_dom	1566.2	11988771-11988998	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11981430	11981687	-1	FN3_dom	1566.2	11981430-11981687	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11980242	11980496	-1	FN3_dom	1566.2	11980242-11980496	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11977884	11978129	-1	FN3_dom	1566.2	11977884-11978129	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11986186	11986480	-1	FN3_dom	1566.2	11986186-11986224,11986277-11986480	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11978184	11978432	-1	FN3_dom	1566.2	11978184-11978432	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11989708	11989956	-1	FN3_dom	1566.2	11989708-11989956	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11983755	11984000	-1	Ig_I-set	1403.5	11983755-11984000	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11991505	11991726	-1	Ig_I-set	1403.5	11991505-11991726	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11980809	11981066	-1	Ig_I-set	1403.5	11980809-11981066	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11975521	11975790	-1	Ig_I-set	1403.5	11975521-11975790	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11985519	11985788	-1	Ig_I-set	1403.5	11985519-11985788	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11982000	11982236	-1	Ig_I-set	1403.5	11982000-11982236	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	12008336	12010868	-1	Ig_I-set	1403.5	12008336-12008419,12009206-12009358,12010827-12010868	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11978730	11978999	-1	Ig_I-set	1403.5	11978730-11978999	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11979921	11980172	-1	Ig_I-set	1403.5	11979921-11980172	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11990281	11990532	-1	Ig_I-set	1403.5	11990281-11990532	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	12005774	12006938	-1	Ig_I-set	1403.5	12005774-12005936,12006615-12006691,12006921-12006938	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11982879	11983148	-1	Ig_I-set	1403.5	11982879-11983148	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11977272	11977511	-1	Ig_I-set	1403.5	11977272-11977511	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11975155	11975418	-1	Ig_I-set	1403.5	11975155-11975418	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11992378	11992947	-1	Ig_I-set	1403.5	11992378-11992566,11992930-11992947	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11974684	11974956	-1	Ig_I-set	1403.5	11974684-11974956	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11987536	11987787	-1	Ig_I-set	1403.5	11987536-11987787	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11988412	11988710	-1	Ig_I-set	1403.5	11988412-11988537,11988585-11988710	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11974310	11974602	-1	Ig_I-set	1403.5	11974310-11974453,11974513-11974602	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	12007915	12008296	-1	Ig_I-set	1403.5	12007915-12007998,12008052-12008151,12008199-12008296	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11986554	11986811	-1	Ig_I-set	1403.5	11986554-11986811	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11991769	11991990	-1	Ig_I-set	1403.5	11991769-11991990	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11977560	11977829	-1	Ig_I-set	1403.5	11977560-11977829	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11984634	11984882	-1	Ig_I-set	1403.5	11984634-11984882	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11989341	11989598	-1	Ig_I-set	1403.5	11989341-11989598	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11973696	11974282	-1	Ig_I-set	1403.5	11973696-11973746,11974056-11974153,11974201-11974282	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
IV	11993517	11994136	-1	Ig_I-set	1403.5	11993517-11993588,11993881-11994041,11994094-11994136	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
