10	36146640	36172739	Tyr_kinase_cat_dom	85.7	-	36146640	36172739	83,88,95	6	25993,-291,-148,-49,-158,26083	0,11058,5270,5040,2570,16	SM00219	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00219
10	36157428	36157484	Ser-Thr/Tyr_kinase_cat_dom	253.0	-	36157428	36157484	83,88,95	1	56	0	PR00109	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00109&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00109
10	36149056	36149124	Ser-Thr/Tyr_kinase_cat_dom	445.0	-	36149056	36149124	83,88,95	1	68	0	PR00109	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00109&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00109
10	36146646	36172751	Ser/Thr_dual-sp_kinase_dom	121.1	-	36146646	36172751	83,88,95	6	25987,-291,-148,-49,-158,26095	0,11052,5264,5034,2564,10	SM00220	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00220
10	36141268	36141366	Ankyrin_rpt	32.2	-	36141268	36141366	83,88,95	1	98	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36141373	36141462	Ankyrin_rpt	33.5	-	36141373	36141462	83,88,95	1	89	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36141469	36141564	Ankyrin_rpt	26.8	-	36141469	36141564	83,88,95	1	95	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36146646	36172739	Ser-Thr/Tyr_kinase_cat_dom	149.3	-	36146646	36172739	83,88,95	6	25987,-291,-148,-49,-158,26083	0,11052,5264,5034,2564,10	PF07714	http://pfam.sanger.ac.uk/family?acc=PF07714
10	36146646	36172739	Prot_kinase_dom	159.0	-	36146646	36172739	83,88,95	6	25987,-291,-148,-49,-158,26083	0,11052,5264,5034,2564,10	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
10	36140785	36140865	Ankyrin_rpt	24.6	-	36140785	36140865	83,88,95	1	80	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36140971	36141066	Ankyrin_rpt	32.9	-	36140971	36141066	83,88,95	1	95	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36141172	36141264	Ankyrin_rpt	31.5	-	36141172	36141264	83,88,95	1	92	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
10	36141274	36141366	Ankyrin_rpt	28.4	-	36141274	36141366	83,88,95	1	92	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36141376	36141465	Ankyrin_rpt	35.5	-	36141376	36141465	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36141475	36141564	Ankyrin_rpt	32.6	-	36141475	36141564	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36140776	36140865	Ankyrin_rpt	25.0	-	36140776	36140865	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36140878	36140967	Ankyrin_rpt	28.3	-	36140878	36140967	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36140977	36141066	Ankyrin_rpt	35.2	-	36140977	36141066	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36140785	36141759	Ankyrin_rpt-contain_dom	0.0	-	36140785	36141759	83,88,95	1	974	0	SSF48403	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48403
10	36146616	36172841	Kinase-like_dom	0.0	-	36146616	36172841	83,88,95	6	26017,-291,-148,-49,-158,26185	0,11082,5294,5064,2594,40	SSF56112	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF56112
