7	62872827	62886967	GPCR_Rhodpsn_7TM	46.028999999999996	-	62872827	62886967	83,88,95	4	13948,-258,-127,13794	0,8335,2681,346	PS50262	http://www.expasy.ch/prosite/PS50262
7	62881047	62881091	Gastrin_rcpt	590.0	-	62881047	62881091	83,88,95	1	44	0	PR00527	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00527&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00527
7	62880966	62881010	Gastrin_rcpt	267.0	-	62880966	62881010	83,88,95	1	44	0	PR00527	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00527&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00527
7	62875388	62875441	Gastrin_rcpt	328.0	-	62875388	62875441	83,88,95	1	53	0	PR00527	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00527&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00527
7	62886899	62886937	NPY_rcpt	292.0	-	62886899	62886937	83,88,95	1	38	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
7	62886809	62886847	NPY_rcpt	245.0	-	62886809	62886847	83,88,95	1	38	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
7	62881119	62886778	NPY_rcpt	317.0	-	62881119	62886778	83,88,95	2	5656,5616	0,43	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
7	62872839	62872868	NPY_rcpt	239.0	-	62872839	62872868	83,88,95	1	29	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
7	62872794	62872835	NPY_rcpt	295.0	-	62872794	62872835	83,88,95	1	41	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
7	62872827	62886967	GPCR_Rhodpsn	225.2	-	62872827	62886967	83,88,95	4	13948,-258,-127,13794	0,8335,2681,346	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
7	62872785	62886985	7TM_GPCR_olfarory/Srsx	40.6	-	62872785	62886985	83,88,95	4	13990,-258,-127,13812	0,8377,2723,388	PF10320	http://pfam.sanger.ac.uk/family?acc=PF10320
7	62880972	62886988	7TM_GPCR_serpentine_rcpt_Srx	25.2	-	62880972	62886988	83,88,95	2	5803,5826	0,190	PF10328	http://pfam.sanger.ac.uk/family?acc=PF10328
