5	21583708	21589727	Ion_trans_dom	31.7	-	21583708	21589727	83,88,95	4	5982,-165,-66,5769	0,3768,408,250	PF00520	http://pfam.sanger.ac.uk/family?acc=PF00520
5	21581744	21581806	TRPV1-4_channel	835.0	-	21581744	21581806	83,88,95	1	62	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21590030	21591797	TRPV1-4_channel	557.0	-	21590030	21591797	83,88,95	2	1729,1756	0,11	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21583783	21583854	TRPV1-4_channel	420.0	-	21583783	21583854	83,88,95	1	71	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21581519	21612346	TRP_channel	546.9	-	21581519	21612346	83,88,95	13	30704,-152,-140,-298,-179,-158,-92,-73,-165,-66,-304,-127,30725	0,25568,20395,11186,10816,10398,8522,8244,5957,2597,2439,353,102	TIGR00870	http://www.ebi.ac.uk/interpro/signature/TIGR00870
5	21591864	21592164	TRPV1-4_channel	777.0	-	21591864	21592164	83,88,95	2	292,247	0,53	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21592491	21592562	TRPV1-4_channel	795.0	-	21592491	21592562	83,88,95	1	71	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21601829	21606938	Ankyrin_rpt	21.0	-	21601829	21606938	83,88,95	2	5106,5024	0,85	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
5	21592620	21601777	Ankyrin_rpt	16.9	-	21592620	21601777	83,88,95	2	9154,9072	0,85	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
5	21592294	21592454	Ankyrin_rpt	12.7	-	21592294	21592454	83,88,95	2	113,119	0,41	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
5	21601820	21606938	Ankyrin_rpt	11.06	-	21601820	21606938	83,88,95	2	5115,5024	0,94	PS50088	http://www.expasy.ch/prosite/PS50088
5	21592312	21606938	Ankyrin_rpt-contain_dom	14.398	-	21592312	21606938	83,88,95	4	14623,-140,-298,14603	0,9602,393,23	PS50297	http://www.expasy.ch/prosite/PS50297
5	21592318	21606959	Ankyrin_rpt-contain_dom	0.0	-	21592318	21606959	83,88,95	4	14617,-140,-298,14624	0,9596,387,17	SSF48403	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48403
