16	33835314	33856098	CarbesteraseB	383.9	-	33835314	33856098	83,88,95	10	20645,-87,-138,-196,-164,-167,-187,-107,-140,20625	0,19645,18970,17133,8921,8673,7366,1040,841,159	PF00135	http://pfam.sanger.ac.uk/family?acc=PF00135
16	33872495	33874672	Thyroglobulin_1	8.7	-	33872495	33874672	83,88,95	2	2036,2170	0,7	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33896873	33902734	Thyroglobulin_1	11.136	-	33896873	33902734	83,88,95	3	5776,-97,5860	0,1313,1	PS51162	http://www.expasy.ch/prosite/PS51162
16	33896225	33896872	Thyroglobulin_1	11.525	-	33896225	33896872	83,88,95	2	461,646	0,1	PS51162	http://www.expasy.ch/prosite/PS51162
16	33890264	33890443	Thyroglobulin_1	11.452	-	33890264	33890443	83,88,95	1	179	0	PS51162	http://www.expasy.ch/prosite/PS51162
16	33890914	33896224	Thyroglobulin_1	7.071000000000001	-	33890914	33896224	83,88,95	3	5153,-106,5270	0,3326,40	PS51162	http://www.expasy.ch/prosite/PS51162
16	33887155	33887322	Thyroglobulin_1	11.287	-	33887155	33887322	83,88,95	1	167	0	PS51162	http://www.expasy.ch/prosite/PS51162
16	33885020	33887154	Thyroglobulin_1	9.321	-	33885020	33887154	83,88,95	2	1939,2121	0,13	PS51162	http://www.expasy.ch/prosite/PS51162
16	33880308	33882868	Thyroglobulin_1	9.328	-	33880308	33882868	83,88,95	3	2449,-77,2559	0,203,1	PS51162	http://www.expasy.ch/prosite/PS51162
16	33877660	33877857	Thyroglobulin_1	9.235	-	33877660	33877857	83,88,95	1	197	0	PS51162	http://www.expasy.ch/prosite/PS51162
16	33877858	33880307	Thyroglobulin_1	6.966	-	33877858	33880307	83,88,95	3	2351,-120,2448	0,2261,1	PS51162	http://www.expasy.ch/prosite/PS51162
16	33896225	33896872	Thyroglobulin_1	0.0	-	33896225	33896872	83,88,95	2	461,646	0,1	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33887980	33890865	Thyroglobulin_1	0.0	-	33887980	33890865	83,88,95	3	2831,-182,2869	0,2465,16	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33887137	33887283	Thyroglobulin_1	0.0	-	33887137	33887283	83,88,95	1	146	0	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33896873	33902734	Thyroglobulin_1	0.0	-	33896873	33902734	83,88,95	3	5776,-97,5860	0,1313,1	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33880459	33884192	Thyroglobulin_1	0.0	-	33880459	33884192	83,88,95	3	3655,-137,3681	0,2435,52	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33886990	33887154	Thyroglobulin_1	0.0	-	33886990	33887154	83,88,95	1	164	0	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33877663	33877857	Thyroglobulin_1	0.0	-	33877663	33877857	83,88,95	1	194	0	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33894135	33896224	Thyroglobulin_1	0.0	-	33894135	33896224	83,88,95	2	1932,1984	0,105	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33884328	33884947	Thyroglobulin_1	0.0	-	33884328	33884947	83,88,95	2	109,600	0,19	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33877858	33880307	Thyroglobulin_1	0.0	-	33877858	33880307	83,88,95	3	2351,-120,2448	0,2261,1	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
16	33874655	33875375	Growth_fac_rcpt_N_dom	0.0	-	33874655	33875375	83,88,95	3	675,-149,680	0,333,40	SSF57184	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57184
16	33874535	33874693	Thyroglobulin_1	0.0	-	33874535	33874693	83,88,95	1	158	0	SSF57610	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57610
