20	15122024	15137719	Flavin_mOase-like	734.3	-	15122024	15137719	83,88,95	8	15570,-188,-165,-142,-199,-355,-72,15362	0,12575,12296,10315,5995,5671,2135,333	PF00743	http://pfam.sanger.ac.uk/family?acc=PF00743
20	15127497	15127580	Flavin_mOase	826.0	-	15127497	15127580	83,88,95	1	83	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15127383	15127436	Flavin_mOase	492.0	-	15127383	15127436	83,88,95	1	53	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15127344	15127385	Flavin_mOase	478.0	-	15127344	15127385	83,88,95	1	41	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134438	15134488	Flavin_mOase_1	409.0	-	15134438	15134488	83,88,95	1	50	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15127993	15132208	Flavin_mOase_1	287.0	-	15127993	15132208	83,88,95	2	4204,4189	0,26	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15127858	15127902	Flavin_mOase_1	231.0	-	15127858	15127902	83,88,95	1	44	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15127614	15127655	Flavin_mOase_1	415.0	-	15127614	15127655	83,88,95	1	41	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15122081	15122131	Flavin_mOase_1	172.0	-	15122081	15122131	83,88,95	1	50	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15134438	15134476	Flavin_mOase_2	336.0	-	15134438	15134476	83,88,95	1	38	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15134297	15134413	Flavin_mOase_2	277.0	-	15134297	15134413	83,88,95	2	114,93	0,23	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15127864	15127905	Flavin_mOase_2	383.0	-	15127864	15127905	83,88,95	1	41	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15122249	15122293	Flavin_mOase_2	239.0	-	15122249	15122293	83,88,95	1	44	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15122063	15122110	Flavin_mOase_2	155.0	-	15122063	15122110	83,88,95	1	47	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15134435	15134473	Flavin_mOase_5	415.0	-	15134435	15134473	83,88,95	1	38	0	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15127999	15132208	Flavin_mOase_5	330.0	-	15127999	15132208	83,88,95	2	4198,4189	0,20	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15127668	15127827	Flavin_mOase_5	362.0	-	15127668	15127827	83,88,95	2	152,132	0,27	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15122015	15137725	DiMe-aniline_mOase	920.5	-	15122015	15137725	83,88,95	8	15579,-188,-165,-142,-199,-355,-72,15368	0,12584,12305,10324,6004,5680,2144,342	PIRSF000332	None
