17	7241409	7276585	ANF_lig-bd_rcpt	311.4	-	7241409	7276585	83,88,95	5	34705,-249,-241,-246,35155	0,25693,12064,1416,21	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
17	7231275	7231343	GPCR_3	713.0	-	7231275	7231343	83,88,95	1	68	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7231143	7231208	GPCR_3	572.0	-	7231143	7231208	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7231014	7231085	GPCR_3	340.0	-	7231014	7231085	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7230855	7230926	GPCR_3	759.0	-	7230855	7230926	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7230792	7230857	GPCR_3	933.0	-	7230792	7230857	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276694	7276738	GPCR_3_mtglu_rcpt_1	180.0	-	7276694	7276738	83,88,95	1	44	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7276364	7276429	GPCR_3_mtglu_rcpt_1	405.0	-	7276364	7276429	83,88,95	1	65	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7242809	7253286	GPCR_3_mtglu_rcpt_1	405.0	-	7242809	7253286	83,88,95	2	10423,10461	0,16	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7241352	7241411	GPCR_3_mtglu_rcpt_1	780.0	-	7241352	7241411	83,88,95	1	59	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7222896	7222955	GPCR_3_mtglu_rcpt_1	675.0	-	7222896	7222955	83,88,95	1	59	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7222791	7222859	GPCR_3_mtglu_rcpt_1	1120.0	-	7222791	7222859	83,88,95	1	68	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
17	7267011	7267046	GPCR_3_mtglu_rcpt	320.0	-	7267011	7267046	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7266957	7266995	GPCR_3_mtglu_rcpt	273.0	-	7266957	7266995	83,88,95	1	38	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7253371	7253418	GPCR_3_mtglu_rcpt	300.0	-	7253371	7253418	83,88,95	1	47	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7242764	7242799	GPCR_3_mtglu_rcpt	359.0	-	7242764	7242799	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7231176	7231220	GPCR_3_mtglu_rcpt	403.0	-	7231176	7231220	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7230717	7230761	GPCR_3_mtglu_rcpt	400.0	-	7230717	7230761	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
17	7276685	7276735	GPCR_3_mtglu_rcpt_5	250.0	-	7276685	7276735	83,88,95	1	50	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7276376	7276426	GPCR_3_mtglu_rcpt_5	320.0	-	7276376	7276426	83,88,95	1	50	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7242821	7253286	GPCR_3_mtglu_rcpt_5	460.0	-	7242821	7253286	83,88,95	2	10411,10461	0,4	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7241301	7241363	GPCR_3_mtglu_rcpt_5	335.0	-	7241301	7241363	83,88,95	1	62	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7231407	7231442	GPCR_3_mtglu_rcpt_5	410.0	-	7231407	7231442	83,88,95	1	35	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7222794	7222865	GPCR_3_mtglu_rcpt_5	730.0	-	7222794	7222865	83,88,95	1	71	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
17	7230639	7231427	GPCR_3_C	64.171	-	7230639	7231427	83,88,95	1	788	0	PS50259	http://www.expasy.ch/prosite/PS50259
17	7241319	7276708	Peripla_BP_I	0.0	-	7241319	7276708	83,88,95	5	34795,-249,-241,-246,35278	0,25783,12154,1506,111	SSF53822	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53822
