13	36072980	36077378	Thrombospondin_C	317.4	+	36072980	36077378	83,88,95	5	81,271,97,139,4	0,177,920,2543,4394	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
13	36061995	36065842	EG-like_dom	11.6	+	36061995	36065842	83,88,95	3	2,152,8	0,1606,3839	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
13	36061986	36065842	EGF-like_Ca-bd_dom	30.7	+	36061986	36065842	83,88,95	3	11,152,8	0,1615,3848	SM00179	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00179
13	36061872	36061985	EG-like_dom	22.4	+	36061872	36061985	83,88,95	1	113	0	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
13	36040341	36043480	Laminin_G	200.3	+	36040341	36043480	83,88,95	2	548,35	0,3104	SM00210	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00210
13	36051070	36051317	VWF_C	72.6	+	36051070	36051317	83,88,95	2	74,89	0,158	SM00214	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00214
13	36060076	36061985	EGF-like_Ca-bd_dom	10.4	+	36060076	36061985	83,88,95	2	36,115	0,1794	SM00179	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00179
13	36059950	36060108	Thrombospondin_1_rpt	75.7	+	36059950	36060108	83,88,95	1	158	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
13	36059220	36059378	Thrombospondin_1_rpt	73.4	+	36059220	36059378	83,88,95	1	158	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
13	36054118	36054261	Thrombospondin_1_rpt	52.8	+	36054118	36054261	83,88,95	1	143	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
13	36065843	36065977	EG-like_dom	9.941	+	36065843	36065977	83,88,95	1	134	0	PS50026	http://www.expasy.ch/prosite/PS50026
13	36054112	36054261	Thrombospondin_1_rpt	12.875	+	36054112	36054261	83,88,95	1	149	0	PS50092	http://www.expasy.ch/prosite/PS50092
13	36059211	36059378	Thrombospondin_1_rpt	14.657	+	36059211	36059378	83,88,95	1	167	0	PS50092	http://www.expasy.ch/prosite/PS50092
13	36059941	36060108	Thrombospondin_1_rpt	14.909	+	36059941	36060108	83,88,95	1	167	0	PS50092	http://www.expasy.ch/prosite/PS50092
13	36051064	36051320	VWF_C	12.919	+	36051064	36051320	83,88,95	2	80,92	0,164	PS50184	http://www.expasy.ch/prosite/PS50184
13	36072929	36077378	ConA-like_lec_gl_sf	0.0	+	36072929	36077378	83,88,95	5	132,271,97,139,4	0,228,971,2594,4445	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
13	36040353	36043516	ConA-like_lec_gl_sf	0.0	+	36040353	36043516	83,88,95	2	536,71	0,3092	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
13	36059370	36060105	Thrombospondin_1_rpt	0.0	+	36059370	36060105	83,88,95	2	9,166	0,569	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
13	36059208	36059369	Thrombospondin_1_rpt	0.0	+	36059208	36059369	83,88,95	1	161	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
13	36054097	36054258	Thrombospondin_1_rpt	0.0	+	36054097	36054258	83,88,95	1	161	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
