20	32100543	32149508	ANF_lig-bd_rcpt	308.9	-	32100543	32149508	83,88,95	5	48494,-249,-235,-246,48950	0,36538,9853,4019,15	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
20	32104540	32110209	GPCR_3_mtglu_rcpt_1	920.0	-	32104540	32110209	83,88,95	2	5621,5647	0,22	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
20	32100480	32100539	GPCR_3_mtglu_rcpt_1	650.0	-	32100480	32100539	83,88,95	1	59	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
20	32091550	32091615	GPCR_3_mtglu_rcpt_1	570.0	-	32091550	32091615	83,88,95	1	65	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
20	32149608	32149658	GPCR_3_mtglu_rcpt_5	300.0	-	32149608	32149658	83,88,95	1	50	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32149299	32149349	GPCR_3_mtglu_rcpt_5	310.0	-	32149299	32149349	83,88,95	1	50	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32104552	32110209	GPCR_3_mtglu_rcpt_5	430.0	-	32104552	32110209	83,88,95	2	5609,5647	0,10	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32100429	32100491	GPCR_3_mtglu_rcpt_5	295.0	-	32100429	32100491	83,88,95	1	62	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32092414	32092449	GPCR_3_mtglu_rcpt_5	340.0	-	32092414	32092449	83,88,95	1	35	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32092003	32092053	GPCR_3_mtglu_rcpt_5	370.0	-	32092003	32092053	83,88,95	1	50	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32091553	32091624	GPCR_3_mtglu_rcpt_5	310.0	-	32091553	32091624	83,88,95	1	71	0	PR01055	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01055&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01055
20	32094994	32149631	Peripla_BP_I	0.0	-	32094994	32149631	83,88,95	6	54043,-249,-235,-246,-171,54524	0,42087,15402,9568,5564,113	SSF53822	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53822
20	32092027	32094999	ABC1_TM_dom	0.0	-	32092027	32094999	83,88,95	2	2954,2521	0,451	SSF90123	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF90123
20	32091646	32092434	GPCR_3_C	63.583	-	32091646	32092434	83,88,95	1	788	0	PS50259	http://www.expasy.ch/prosite/PS50259
