8	10510653	10530240	K_chnl_volt-dep_Kv4_C	112.2	+	10510653	10530240	83,88,95	3	26,92,170	0,19043,19417	PF11879	http://pfam.sanger.ac.uk/family?acc=PF11879
8	10413591	10413617	K_chnl_volt-dep_Kv	374.0	+	10413591	10413617	83,88,95	1	26	0	PR01491	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01491&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01491
8	10413663	10413707	K_chnl_volt-dep_Kv	396.0	+	10413663	10413707	83,88,95	1	44	0	PR01491	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01491&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01491
8	10506528	10506563	K_chnl_volt-dep_Kv	505.0	+	10506528	10506563	83,88,95	1	35	0	PR01491	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01491&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01491
8	10412916	10412945	K_chnl_volt-dep_Kv4.1	346.0	+	10412916	10412945	83,88,95	1	29	0	PR01516	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01516&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01516
8	10413141	10413176	K_chnl_volt-dep_Kv4.1	286.0	+	10413141	10413176	83,88,95	1	35	0	PR01516	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01516&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01516
8	10529702	10529752	K_chnl_volt-dep_Kv4.1	463.0	+	10529702	10529752	83,88,95	1	50	0	PR01516	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01516&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01516
8	10530250	10530288	K_chnl_volt-dep_Kv4.1	300.0	+	10530250	10530288	83,88,95	1	38	0	PR01516	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01516&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01516
8	10531626	10531667	K_chnl_volt-dep_Kv4.1	430.0	+	10531626	10531667	83,88,95	1	41	0	PR01516	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01516&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01516
8	10412940	10412981	K_chnl_volt-dep_Kv3	473.0	+	10412940	10412981	83,88,95	1	41	0	PR01498	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01498&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01498
8	10412985	10413032	K_chnl_volt-dep_Kv3	492.0	+	10412985	10413032	83,88,95	1	47	0	PR01498	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01498&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01498
8	10413039	10413104	K_chnl_volt-dep_Kv3	463.0	+	10413039	10413104	83,88,95	1	65	0	PR01498	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01498&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01498
8	10412814	10413113	BTB/POZ-like	71.0	+	10412814	10413113	83,88,95	1	299	0	SM00225	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00225
8	10412811	10413131	BTB/POZ_fold	0.0	+	10412811	10413131	83,88,95	1	320	0	SSF54695	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF54695
