20	15090989	15095596	Flavin_mOase-like	822.5	-	15090989	15095596	83,88,95	8	4479,-188,-165,-142,-199,-355,-72,4301	0,4328,4034,3210,1275,956,488,306	PF00743	http://pfam.sanger.ac.uk/family?acc=PF00743
20	15091717	15091743	Flavin_mOase_5	237.0	-	15091717	15091743	83,88,95	1	26	0	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15091292	15091460	Flavin_mOase_5	359.0	-	15091292	15091460	83,88,95	2	113,165	0,3	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15091259	15091294	Flavin_mOase_5	455.0	-	15091259	15091294	83,88,95	1	35	0	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15095156	15095206	Flavin_mOase_1	453.0	-	15095156	15095206	83,88,95	1	50	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15092238	15094068	Flavin_mOase_1	348.0	-	15092238	15094068	83,88,95	2	1819,1804	0,26	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15091864	15091905	Flavin_mOase_1	367.0	-	15091864	15091905	83,88,95	1	41	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15091717	15091749	Flavin_mOase_1	198.0	-	15091717	15091749	83,88,95	1	32	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15091449	15091478	Flavin_mOase_1	172.0	-	15091449	15091478	83,88,95	1	29	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15091019	15091069	Flavin_mOase_1	183.0	-	15091019	15091069	83,88,95	1	50	0	PR01121	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01121&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01121
20	15095156	15095194	Flavin_mOase_2	403.0	-	15095156	15095194	83,88,95	1	38	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15095000	15095131	Flavin_mOase_2	170.0	-	15095000	15095131	83,88,95	2	129,108	0,23	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15091717	15091749	Flavin_mOase_2	259.0	-	15091717	15091749	83,88,95	1	32	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15091250	15091288	Flavin_mOase_2	202.0	-	15091250	15091288	83,88,95	1	38	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15091187	15091231	Flavin_mOase_2	213.0	-	15091187	15091231	83,88,95	1	44	0	PR01122	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01122&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01122
20	15090953	15095599	DiMe-aniline_mOase	1152.7	-	15090953	15095599	83,88,95	8	4515,-188,-165,-142,-199,-355,-72,4304	0,4364,4070,3246,1311,992,524,342	PIRSF000332	None
