#>P	ENSDARG00000013526	ENSDART00000076882	ENSDARP00000071352	7	24037766	24085671	1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]
#>E	ENSDARE00000638091,ENSDARE00000638078,ENSDARE00000638066,ENSDARE00000638061,ENSDARE00000638050,ENSDARE00000638043,ENSDARE00000638032,ENSDARE00000638025,ENSDARE00000638021,ENSDARE00000638010,ENSDARE00000638003,ENSDARE00000637995,ENSDARE00000637987,ENSDARE00000637979,ENSDARE00000637972,ENSDARE00000637962,ENSDARE00000637957,ENSDARE00000637950,ENSDARE00000637943,ENSDARE00000637940,ENSDARE00000637936,ENSDARE00000637929,ENSDARE00000637926,ENSDARE00000637922,ENSDARE00000637918,ENSDARE00000637913,ENSDARE00000637909,ENSDARE00000637904,ENSDARE00000551005,ENSDARE00000550992,ENSDARE00000016292,ENSDARE00000158885,ENSDARE00000025611,ENSDARE00001188722,ENSDARE00000551448,ENSDARE00000550886,ENSDARE00000550877,ENSDARE00000550864,ENSDARE00000550850,ENSDARE00000725505,ENSDARE00001156927	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24037766-24037892,24039048-24039155,24043943-24044074,24044735-24044926,24045087-24045208,24045280-24045385,24048789-24048986,24049110-24049343,24049589-24049750,24049846-24050007,24052573-24052734,24053566-24053654,24054215-24054311,24054623-24054736,24056289-24056402,24057433-24057634,24057752-24057909,24058312-24058510,24059421-24059596,24059709-24059833,24059957-24060080,24062165-24062335,24062627-24062800,24063036-24063155,24063644-24063820,24064392-24064476,24064731-24064922,24065615-24065782,24065915-24066587,24067966-24070685,24070780-24071008,24071119-24071268,24071895-24071958,24072155-24072328,24072431-24072607,24073145-24073342,24076040-24076210,24078343-24078438,24079139-24079234,24082861-24082954,24085644-24085674
7	24063062	24063151	1	EGF_dom	30.2	24063062-24063151	PF12947	http://pfam.xfam.org/family/PF12947
7	24066000	24066152	1	Sushi_SCR_CCP_dom	961.5	24066000-24066152	PF00084	http://pfam.xfam.org/family/PF00084
7	24070880	24071154	1	Sushi_SCR_CCP_dom	961.5	24070880-24071008,24071119-24071154	PF00084	http://pfam.xfam.org/family/PF00084
7	24068116	24068280	1	Sushi_SCR_CCP_dom	961.5	24068116-24068280	PF00084	http://pfam.xfam.org/family/PF00084
7	24068989	24069147	1	Sushi_SCR_CCP_dom	961.5	24068989-24069147	PF00084	http://pfam.xfam.org/family/PF00084
7	24066375	24066536	1	Sushi_SCR_CCP_dom	961.5	24066375-24066536	PF00084	http://pfam.xfam.org/family/PF00084
7	24069565	24069726	1	Sushi_SCR_CCP_dom	961.5	24069565-24069726	PF00084	http://pfam.xfam.org/family/PF00084
7	24076048	24076206	1	Sushi_SCR_CCP_dom	961.5	24076048-24076206	PF00084	http://pfam.xfam.org/family/PF00084
7	24064400	24064815	1	Sushi_SCR_CCP_dom	961.5	24064400-24064476,24064731-24064815	PF00084	http://pfam.xfam.org/family/PF00084
7	24072442	24072603	1	Sushi_SCR_CCP_dom	961.5	24072442-24072603	PF00084	http://pfam.xfam.org/family/PF00084
7	24069160	24069378	1	Sushi_SCR_CCP_dom	961.5	24069160-24069378	PF00084	http://pfam.xfam.org/family/PF00084
7	24062212	24062331	1	Sushi_SCR_CCP_dom	961.5	24062212-24062331	PF00084	http://pfam.xfam.org/family/PF00084
7	24065694	24065987	1	Sushi_SCR_CCP_dom	961.5	24065694-24065782,24065915-24065987	PF00084	http://pfam.xfam.org/family/PF00084
7	24068815	24068976	1	Sushi_SCR_CCP_dom	961.5	24068815-24068976	PF00084	http://pfam.xfam.org/family/PF00084
7	24062635	24062796	1	Sushi_SCR_CCP_dom	961.5	24062635-24062796	PF00084	http://pfam.xfam.org/family/PF00084
7	24063655	24063816	1	Sushi_SCR_CCP_dom	961.5	24063655-24063816	PF00084	http://pfam.xfam.org/family/PF00084
7	24066186	24066362	1	Sushi_SCR_CCP_dom	961.5	24066186-24066362	PF00084	http://pfam.xfam.org/family/PF00084
7	24068293	24068454	1	Sushi_SCR_CCP_dom	961.5	24068293-24068454	PF00084	http://pfam.xfam.org/family/PF00084
7	24069391	24069552	1	Sushi_SCR_CCP_dom	961.5	24069391-24069552	PF00084	http://pfam.xfam.org/family/PF00084
7	24072163	24072324	1	Sushi_SCR_CCP_dom	961.5	24072163-24072324	PF00084	http://pfam.xfam.org/family/PF00084
7	24073153	24073323	1	Sushi_SCR_CCP_dom	961.5	24073153-24073323	PF00084	http://pfam.xfam.org/family/PF00084
7	24070087	24070248	1	Sushi_SCR_CCP_dom	961.5	24070087-24070248	PF00084	http://pfam.xfam.org/family/PF00084
7	24068641	24068802	1	Sushi_SCR_CCP_dom	961.5	24068641-24068802	PF00084	http://pfam.xfam.org/family/PF00084
7	24070261	24070419	1	Sushi_SCR_CCP_dom	961.5	24070261-24070419	PF00084	http://pfam.xfam.org/family/PF00084
7	24066549	24068103	1	Sushi_SCR_CCP_dom	961.5	24066549-24066587,24067966-24068103	PF00084	http://pfam.xfam.org/family/PF00084
7	24071167	24071954	1	Sushi_SCR_CCP_dom	961.5	24071167-24071268,24071895-24071954	PF00084	http://pfam.xfam.org/family/PF00084
7	24064828	24065681	1	Sushi_SCR_CCP_dom	961.5	24064828-24064922,24065615-24065681	PF00084	http://pfam.xfam.org/family/PF00084
7	24069739	24069900	1	Sushi_SCR_CCP_dom	961.5	24069739-24069900	PF00084	http://pfam.xfam.org/family/PF00084
7	24068467	24068628	1	Sushi_SCR_CCP_dom	961.5	24068467-24068628	PF00084	http://pfam.xfam.org/family/PF00084
7	24070609	24070855	1	Sushi_SCR_CCP_dom	961.5	24070609-24070685,24070780-24070855	PF00084	http://pfam.xfam.org/family/PF00084
