#>P	ENSMUSG00000061462	ENSMUST00000047441	ENSMUSP00000038264	11	58994335	59136375	-1	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:MGI Symbol;Acc:MGI:2681862]
#>E	ENSMUSE00000378514,ENSMUSE00000302472,ENSMUSE00000302487,ENSMUSE00000302500,ENSMUSE00000302509,ENSMUSE00000302518,ENSMUSE00000453539,ENSMUSE00000579524,ENSMUSE00000579525,ENSMUSE00000579526,ENSMUSE00000579527,ENSMUSE00000579528,ENSMUSE00000579529,ENSMUSE00000579530,ENSMUSE00000579531,ENSMUSE00000579532,ENSMUSE00000579533,ENSMUSE00000579534,ENSMUSE00000579535,ENSMUSE00000579536,ENSMUSE00000579537,ENSMUSE00000579538,ENSMUSE00000734712,ENSMUSE00001262328,ENSMUSE00001225770,ENSMUSE00001278357,ENSMUSE00001293138,ENSMUSE00001234594,ENSMUSE00001269469,ENSMUSE00001215714,ENSMUSE00001272416,ENSMUSE00001272991,ENSMUSE00001273763,ENSMUSE00001268697,ENSMUSE00001262578,ENSMUSE00000652986,ENSMUSE00000652987,ENSMUSE00000652989,ENSMUSE00000652991,ENSMUSE00000652993,ENSMUSE00000652995,ENSMUSE00000590352,ENSMUSE00000590353,ENSMUSE00000590354,ENSMUSE00000590355,ENSMUSE00000590356,ENSMUSE00000590357,ENSMUSE00000590358,ENSMUSE00000590359,ENSMUSE00001033871,ENSMUSE00001012179,ENSMUSE00000910326,ENSMUSE00001242117,ENSMUSE00000907167,ENSMUSE00000653003,ENSMUSE00000579503,ENSMUSE00000579505,ENSMUSE00000491468,ENSMUSE00001015862,ENSMUSE00001034770,ENSMUSE00000332221,ENSMUSE00001043647,ENSMUSE00001019147,ENSMUSE00000653009,ENSMUSE00001070685,ENSMUSE00000301191,ENSMUSE00001087517,ENSMUSE00000301202,ENSMUSE00000104818,ENSMUSE00000579495,ENSMUSE00001372339,ENSMUSE00000104799,ENSMUSE00000678068,ENSMUSE00000678069,ENSMUSE00001282263,ENSMUSE00001294180,ENSMUSE00001264212,ENSMUSE00001242768,ENSMUSE00001304294,ENSMUSE00001244612,ENSMUSE00001297487,ENSMUSE00001239562,ENSMUSE00001284871,ENSMUSE00001269132,ENSMUSE00001256596,ENSMUSE00001277190,ENSMUSE00001282416,ENSMUSE00001269339,ENSMUSE00001223257,ENSMUSE00001264837,ENSMUSE00001248347,ENSMUSE00001250824,ENSMUSE00001294270,ENSMUSE00001224886,ENSMUSE00001304982,ENSMUSE00001259764,ENSMUSE00001260714,ENSMUSE00001280767,ENSMUSE00001216345,ENSMUSE00001293943,ENSMUSE00001252206,ENSMUSE00001308483,ENSMUSE00001256350,ENSMUSE00001206141	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58994332-58994509,58994685-58994834,58995028-58995103,58995338-58995561,58995788-58996027,58996227-58996311,58996846-58997016,58997163-58997285,58997975-58998142,58998261-58998353,58998481-58998561,58999195-59001178,59001454-59001531,59001879-59001924,59002017-59002169,59002991-59003017,59003207-59003379,59003629-59003706,59006757-59006817,59007524-59007724,59007823-59007901,59008041-59008209,59008509-59008621,59020457-59020568,59021420-59021549,59021865-59021967,59022228-59022395,59027410-59027523,59028497-59028674,59028867-59029025,59029201-59029365,59029470-59029586,59030019-59030175,59031024-59031197,59031582-59031664,59031821-59032021,59032626-59032765,59032894-59033016,59033712-59033782,59034137-59034197,59034695-59034913,59035033-59035131,59035379-59035411,59035947-59036144,59036350-59036468,59036738-59036816,59037535-59037813,59038322-59039198,59040211-59040584,59041565-59041852,59042022-59042309,59043881-59044153,59049425-59049500,59049677-59049873,59050301-59050576,59051131-59051403,59051528-59051794,59052445-59052711,59054774-59055037,59055961-59056224,59060844-59061107,59061424-59061687,59062647-59062910,59063465-59063683,59064187-59064450,59067066-59067329,59067583-59067846,59067944-59068210,59069028-59069294,59069739-59070011,59073107-59073373,59073510-59073776,59074891-59075163,59076134-59076400,59076484-59076750,59076846-59077112,59077681-59077950,59078179-59078445,59078802-59078906,59079557-59079710,59079810-59079919,59080101-59080367,59080697-59080963,59081795-59082064,59082192-59082458,59082617-59082895,59086665-59086940,59093296-59093571,59099690-59099965,59103275-59103550,59106295-59106570,59107742-59108017,59112519-59112794,59115659-59115934,59122620-59122895,59124521-59124796,59128063-59128338,59130441-59130641,59131547-59131828,59132461-59132727,59133021-59133329,59133700-59133960,59134551-59134820,59135394-59136375
11	59029288	59031193	-1	DH-domain	69.7	59029288-59029365,59029470-59029586,59030019-59030175,59031024-59031193	PF00621	http://pfam.sanger.ac.uk/family?acc=PF00621
11	59080716	59080949	-1	Ig_I-set	2385.6	59080716-59080949	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59076850	59077095	-1	Ig_I-set	2385.6	59076850-59077095	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59134582	59134806	-1	Ig_I-set	2385.6	59134582-59134806	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59063466	59063672	-1	Ig_I-set	2385.6	59063466-59063672	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59054787	59055029	-1	Ig_I-set	2385.6	59054787-59055029	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59049435	59049859	-1	Ig_I-set	2385.6	59049435-59049500,59049677-59049859	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59099727	59099936	-1	Ig_I-set	2385.6	59099727-59099936	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59069065	59069280	-1	Ig_I-set	2385.6	59069065-59069280	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59079579	59079908	-1	Ig_I-set	2385.6	59079579-59079710,59079810-59079908	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59067948	59068199	-1	Ig_I-set	2385.6	59067948-59068199	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59061434	59061679	-1	Ig_I-set	2385.6	59061434-59061679	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59020545	59021962	-1	Ig_I-set	2385.6	59020545-59020568,59021420-59021549,59021865-59021962	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59078207	59078425	-1	Ig_I-set	2385.6	59078207-59078425	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59081814	59082050	-1	Ig_I-set	2385.6	59081814-59082050	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59052458	59052700	-1	Ig_I-set	2385.6	59052458-59052700	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59076144	59076389	-1	Ig_I-set	2385.6	59076144-59076389	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59124558	59124767	-1	Ig_I-set	2385.6	59124558-59124767	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59131581	59131763	-1	Ig_I-set	2385.6	59131581-59131763	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59050338	59050562	-1	Ig_I-set	2385.6	59050338-59050562	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59073144	59073362	-1	Ig_I-set	2385.6	59073144-59073362	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59042053	59042301	-1	FN3_dom	84.8	59042053-59042301	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
11	59133052	59133306	-1	FN3_dom	84.8	59133052-59133306	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
