#>P	ENSMUSG00000028369	ENSMUST00000042850	ENSMUSP00000045856	4	58043150	58206376	-1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:MGI Symbol;Acc:MGI:1928849]
#>E	ENSMUSE00000414099,ENSMUSE00000339973,ENSMUSE00000178502,ENSMUSE00000325565,ENSMUSE00000178496,ENSMUSE00000178520,ENSMUSE00000335895,ENSMUSE00000527174,ENSMUSE00000178507,ENSMUSE00000178526,ENSMUSE00000325611,ENSMUSE00000325621,ENSMUSE00000325627,ENSMUSE00000178516,ENSMUSE00000178497,ENSMUSE00000325640,ENSMUSE00000325648,ENSMUSE00000178508,ENSMUSE00000347036,ENSMUSE00000325664,ENSMUSE00000401950,ENSMUSE00000371906,ENSMUSE00000394420,ENSMUSE00000353566,ENSMUSE00000396694,ENSMUSE00000325383,ENSMUSE00000350904,ENSMUSE00000325396,ENSMUSE00000662946,ENSMUSE00000325412,ENSMUSE00000325420,ENSMUSE00000325426,ENSMUSE00000325431,ENSMUSE00000325439,ENSMUSE00000325444,ENSMUSE00000325451,ENSMUSE00000325457,ENSMUSE00000325463,ENSMUSE00000325471,ENSMUSE00000325480,ENSMUSE00000325488,ENSMUSE00000325498,ENSMUSE00000325509,ENSMUSE00000325517,ENSMUSE00001259252,ENSMUSE00001278284,ENSMUSE00001273877,ENSMUSE00000325550	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58043147-58043168,58043963-58044056,58046542-58046637,58048111-58048206,58049110-58049280,58053119-58053295,58054539-58054712,58057930-58057993,58064172-58064327,58066429-58066654,58068357-58071139,58072663-58073335,58082651-58082818,58083967-58084158,58084515-58084599,58084810-58084986,58087728-58087847,58088218-58088391,58089352-58089522,58090581-58090704,58091873-58091997,58094001-58094176,58096159-58096360,58097284-58097441,58099943-58100144,58100763-58100876,58104438-58104551,58106295-58106391,58107517-58107608,58108228-58108389,58111299-58111460,58113489-58113650,58115697-58115930,58116488-58116652,58118125-58118233,58120545-58120666,58121827-58122021,58123145-58123276,58123982-58124089,58128766-58128895,58133304-58133422,58135426-58135620,58138605-58138784,58145158-58145337,58146515-58146673,58175931-58176107,58179452-58179707,58205843-58206376
4	58179474	58206124	-1	VWF_A	120.9	58179474-58179707,58205843-58206124	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
4	58069964	58070122	-1	Sushi_SCR_CCP_dom	1078.5	58069964-58070122	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58068962	58069123	-1	Sushi_SCR_CCP_dom	1078.5	58068962-58069123	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58057934	58064273	-1	Sushi_SCR_CCP_dom	1078.5	58057934-58057993,58064172-58064273	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58138609	58138776	-1	Sushi_SCR_CCP_dom	1078.5	58138609-58138776	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58088222	58088383	-1	Sushi_SCR_CCP_dom	1078.5	58088222-58088383	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58069310	58069471	-1	Sushi_SCR_CCP_dom	1078.5	58069310-58069471	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58064298	58066554	-1	Sushi_SCR_CCP_dom	1078.5	58064298-58064327,58066429-58066554	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58089356	58090587	-1	Sushi_SCR_CCP_dom	1078.5	58089356-58089522,58090581-58090587	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58071011	58072701	-1	Sushi_SCR_CCP_dom	1078.5	58071011-58071139,58072663-58072701	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58069484	58069645	-1	Sushi_SCR_CCP_dom	1078.5	58069484-58069645	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58073077	58073250	-1	Sushi_SCR_CCP_dom	1078.5	58073077-58073250	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58070660	58070761	-1	Sushi_SCR_CCP_dom	1078.5	58070660-58070761	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58068446	58068607	-1	Sushi_SCR_CCP_dom	1078.5	58068446-58068607	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58070834	58070998	-1	Sushi_SCR_CCP_dom	1078.5	58070834-58070998	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58072903	58073064	-1	Sushi_SCR_CCP_dom	1078.5	58072903-58073064	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58069136	58069297	-1	Sushi_SCR_CCP_dom	1078.5	58069136-58069297	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58073263	58082739	-1	Sushi_SCR_CCP_dom	1078.5	58073263-58073335,58082651-58082739	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58049114	58049272	-1	Sushi_SCR_CCP_dom	1078.5	58049114-58049272	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58068788	58068949	-1	Sushi_SCR_CCP_dom	1078.5	58068788-58068949	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58090609	58096292	-1	Pentaxin-related	90.5	58090609-58090704,58091873-58091997,58094001-58094176,58096159-58096292	PF00354	http://pfam.sanger.ac.uk/family?acc=PF00354
4	58100875	58104522	-1	EGF-like_dom	138.9	58100875-58100876,58104438-58104522	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	58046552	58046626	-1	EGF-like_dom	138.9	58046552-58046626	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	58097411	58100001	-1	EGF-like_dom	138.9	58097411-58097441,58099943-58100001	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	58097294	58097386	-1	EGF-like_dom	138.9	58097294-58097386	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	58104550	58106379	-1	EGF-like_dom	138.9	58104550-58104551,58106295-58106379	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	58111303	58111446	-1	Tyr-kin_ephrin_A/B_rcpt-like	158.3	58111303-58111446	PF07699	http://pfam.sanger.ac.uk/family?acc=PF07699
4	58108232	58108375	-1	Tyr-kin_ephrin_A/B_rcpt-like	158.3	58108232-58108375	PF07699	http://pfam.sanger.ac.uk/family?acc=PF07699
4	58146558	58175967	-1	Tyr-kin_ephrin_A/B_rcpt-like	158.3	58146558-58146673,58175931-58175967	PF07699	http://pfam.sanger.ac.uk/family?acc=PF07699
4	58113493	58113636	-1	Tyr-kin_ephrin_A/B_rcpt-like	158.3	58113493-58113636	PF07699	http://pfam.sanger.ac.uk/family?acc=PF07699
4	58087732	58087848	-1	EGF-like_Ca-bd_dom	45.9	58087732-58087848	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
4	58100032	58100127	-1	EGF-like_Ca-bd_dom	45.9	58100032-58100127	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
