#>P	ENSMUSG00000027878	ENSMUST00000079812	ENSMUSP00000078741	3	98013699	98147441	1	notch 2 [Source:MGI Symbol;Acc:MGI:97364]
#>E	ENSMUSE00000876750,ENSMUSE00000409345,ENSMUSE00000404985,ENSMUSE00000244757,ENSMUSE00000173829,ENSMUSE00000244740,ENSMUSE00000565998,ENSMUSE00000410900,ENSMUSE00000173851,ENSMUSE00000372606,ENSMUSE00000173865,ENSMUSE00000173842,ENSMUSE00000391377,ENSMUSE00000173837,ENSMUSE00000357324,ENSMUSE00000406771,ENSMUSE00000392832,ENSMUSE00000173846,ENSMUSE00000173840,ENSMUSE00000173839,ENSMUSE00000357630,ENSMUSE00000173862,ENSMUSE00000491540,ENSMUSE00000173859,ENSMUSE00000173831,ENSMUSE00000173834,ENSMUSE00000410647,ENSMUSE00000894608,ENSMUSE00000173843,ENSMUSE00000410856,ENSMUSE00000173830,ENSMUSE00000173849,ENSMUSE00000173847,ENSMUSE00000507053	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98013699-98013771,98047728-98047809,98070860-98071119,98072587-98072922,98081917-98082039,98098096-98098329,98099424-98099579,98100200-98100388,98101521-98101634,98102326-98102439,98104349-98104582,98107047-98107157,98111550-98111742,98113010-98113155,98115232-98115345,98116701-98116820,98117193-98117345,98120727-98120955,98121904-98122105,98123745-98123898,98124149-98124333,98126112-98126244,98131198-98131434,98134559-98134671,98135326-98135831,98137275-98137628,98138386-98138528,98138642-98138852,98139586-98139682,98141464-98141629,98142893-98143194,98144362-98144509,98145122-98145219,98146053-98147444
3	98137378	98137545	1	Notch_NOD_dom	84.2	98137378-98137545	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
3	98124169	98124246	1	EGF-like_dom	717.5	98124169-98124246	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98123760	98123852	1	EGF-like_dom	717.5	98123760-98123852	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98104498	98107051	1	EGF-like_dom	717.5	98104498-98104582,98107047-98107051	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98099450	98099545	1	EGF-like_dom	717.5	98099450-98099545	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98135452	98135550	1	EGF-like_dom	717.5	98135452-98135550	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98107076	98111557	1	EGF-like_dom	717.5	98107076-98107157,98111550-98111557	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98124268	98126135	1	EGF-like_dom	717.5	98124268-98124333,98126112-98126135	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98115261	98116708	1	EGF-like_dom	717.5	98115261-98115345,98116701-98116708	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98104387	98104470	1	EGF-like_dom	717.5	98104387-98104470	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98101559	98102339	1	EGF-like_dom	717.5	98101559-98101634,98102326-98102339	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98126160	98131199	1	EGF-like_dom	717.5	98126160-98126244,98131198-98131199	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98102364	98104362	1	EGF-like_dom	717.5	98102364-98102439,98104349-98104362	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98135707	98135811	1	Notch_dom	89.1	98135707-98135811	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
3	98135587	98135688	1	Notch_dom	89.1	98135587-98135688	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
3	98135821	98137365	1	Notch_dom	89.1	98135821-98135831,98137275-98137365	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
3	98142982	98144376	1	Ankyrin_rpt-contain_dom	97.7	98142982-98143194,98144362-98144376	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
3	98144422	98146139	1	Ankyrin_rpt-contain_dom	97.7	98144422-98144509,98145122-98145219,98146053-98146139	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
3	98137621	98138655	1	Notch_NODP_dom	61.3	98137621-98137628,98138386-98138528,98138642-98138655	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
3	98099558	98100282	1	EGF-like_Ca-bd_dom	225.2	98099558-98099579,98100200-98100282	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	98072715	98072813	1	EGF-like_Ca-bd_dom	225.2	98072715-98072813	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	98117210	98117305	1	EGF-like_Ca-bd_dom	225.2	98117210-98117305	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	98111567	98111656	1	EGF-like_Ca-bd_dom	225.2	98111567-98111656	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	98098113	98098220	1	EGF-like_Ca-bd_dom	225.2	98098113-98098220	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	98147172	98147360	1	DUF3454_notch	95.9	98147172-98147360	PF11936	http://pfam.sanger.ac.uk/family?acc=PF11936
