#>P	ENSG00000164199	ENST00000405460	ENSP00000384582	5	90558896	91163897	1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
#>E	ENSE00001554556,ENSE00001547340,ENSE00001082343,ENSE00001153190,ENSE00001082335,ENSE00001082339,ENSE00001082345,ENSE00001082316,ENSE00001082319,ENSE00001082341,ENSE00001082327,ENSE00003467808,ENSE00003561616,ENSE00001082336,ENSE00001082315,ENSE00001082331,ENSE00001153142,ENSE00001153139,ENSE00001153132,ENSE00001153127,ENSE00001153122,ENSE00001153118,ENSE00003583548,ENSE00003531435,ENSE00003645521,ENSE00001153111,ENSE00001153108,ENSE00001153103,ENSE00001082356,ENSE00001082358,ENSE00001082361,ENSE00002504146,ENSE00002472310,ENSE00002458409,ENSE00002460309,ENSE00002434084,ENSE00002495298,ENSE00002532876,ENSE00002515073,ENSE00002429819,ENSE00002518095,ENSE00002470236,ENSE00002529941,ENSE00002504391,ENSE00002460384,ENSE00002533445,ENSE00002532651,ENSE00002441257,ENSE00002493740,ENSE00002458576,ENSE00002435538,ENSE00002466493,ENSE00002463565,ENSE00002452670,ENSE00002442952,ENSE00002497626,ENSE00002443652,ENSE00002503764,ENSE00002472087,ENSE00002523496,ENSE00002446036,ENSE00002490568,ENSE00002466087,ENSE00002490465,ENSE00002500866,ENSE00002443246,ENSE00002479246,ENSE00002472076,ENSE00002515000,ENSE00002474809,ENSE00002473152,ENSE00002510973,ENSE00002512813,ENSE00002466805,ENSE00002495629,ENSE00002453221,ENSE00002510834,ENSE00002436892,ENSE00003684955,ENSE00002517333,ENSE00002504107,ENSE00003614701,ENSE00003478886,ENSE00002480473,ENSE00002517824,ENSE00002439137,ENSE00002454350,ENSE00002523679,ENSE00002451441,ENSE00002083411	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90558896-90558917,90614835-90615019,90617804-90617953,90619086-90619181,90622597-90622701,90625130-90625243,90627211-90627776,90628562-90628832,90629210-90629539,90635114-90635290,90637725-90637948,90642636-90642762,90642856-90643041,90643803-90643983,90644706-90644869,90645968-90646091,90647498-90647764,90651604-90651730,90652346-90652563,90653209-90653952,90657905-90658278,90672546-90672722,90674054-90674234,90675243-90675445,90676080-90676209,90679549-90679629,90681315-90681454,90683586-90684195,90685780-90685995,90689861-90690076,90690797-90691041,90692605-90692786,90693890-90694701,90696937-90697146,90703665-90703795,90704389-90704488,90705400-90705579,90706231-90706394,90708816-90708909,90710981-90711059,90711184-90711322,90712287-90712428,90716467-90716729,90720048-90720223,90720935-90721059,90724832-90724989,90725086-90725232,90725549-90725656,90728669-90728933,90729642-90729764,90745046-90745265,90745591-90745795,90750551-90750697,90753574-90753829,90754983-90755185,90756454-90756630,90756979-90757161,90759409-90759588,90763305-90763469,90774186-90774303,90776453-90776576,90777905-90778043,90778427-90778609,90778865-90779097,90781430-90781578,90783124-90783325,90783838-90784057,90788071-90788310,90789702-90789851,90790873-90791346,90802739-90802882,90805284-90805458,90807602-90807737,90810233-90811338,90815619-90815736,90823425-90823596,90828944-90829186,90840578-90840985,90848637-90848821,90853284-90853533,90854062-90854201,90855741-90855901,90863757-90863857,90965415-90965531,90985344-90985522,91072447-91072604,91102219-91102340,91150030-91150221,91153221-91153398,91163782-91163900
5	90728690	90728821	1	EPTP	49.7	90728690-90728821	PF03736	http://pfam.sanger.ac.uk/family?acc=PF03736
5	90753826	90756495	1	Calx_beta	796.2	90753826-90753829,90754983-90755185,90756454-90756495	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90646052	90647751	1	Calx_beta	796.2	90646052-90646091,90647498-90647751	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90694545	90697016	1	Calx_beta	796.2	90694545-90694701,90696937-90697016	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90759529	90774266	1	Calx_beta	796.2	90759529-90759588,90763305-90763469,90774186-90774266	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90778529	90779074	1	Calx_beta	796.2	90778529-90778609,90778865-90779074	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90810276	90810545	1	Calx_beta	796.2	90810276-90810545	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90745246	90745696	1	Calx_beta	796.2	90745246-90745265,90745591-90745696	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90614924	90617944	1	Calx_beta	796.2	90614924-90615019,90617804-90617944	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90811122	90811256	1	Calx_beta	796.2	90811122-90811256	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90855892	91150041	1	GPCR_2_secretin-like	55.8	90855892-90855901,90863757-90863857,90965415-90965531,90985344-90985522,91072447-91072604,91102219-91102340,91150030-91150041	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
