#>P	ENSG00000123384	ENST00000243077	ENSP00000243077	12	57128965	57212552	1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]
#>E	ENSE00001217215,ENSE00001107512,ENSE00001107525,ENSE00000838818,ENSE00001107561,ENSE00001107552,ENSE00001320947,ENSE00001302177,ENSE00001330203,ENSE00001301122,ENSE00001298063,ENSE00001299981,ENSE00001327741,ENSE00001318771,ENSE00001295270,ENSE00001317407,ENSE00001324415,ENSE00001318999,ENSE00001290991,ENSE00001321501,ENSE00001316630,ENSE00001294437,ENSE00001312663,ENSE00001296112,ENSE00001319703,ENSE00001292073,ENSE00001325523,ENSE00001297961,ENSE00001311178,ENSE00001309278,ENSE00001328727,ENSE00001290948,ENSE00001314212,ENSE00001307564,ENSE00001305812,ENSE00001330334,ENSE00001292593,ENSE00001326661,ENSE00001308210,ENSE00001304021,ENSE00001323007,ENSE00001328642,ENSE00001316690,ENSE00001299409,ENSE00001316808,ENSE00001321088,ENSE00001319306,ENSE00001290843,ENSE00001319434,ENSE00001323838,ENSE00001318058,ENSE00001302141,ENSE00001289847,ENSE00001314255,ENSE00001291411,ENSE00001315700,ENSE00001292871,ENSE00001325742,ENSE00001298595,ENSE00001318488,ENSE00001305366,ENSE00001328542,ENSE00001291635,ENSE00003537158,ENSE00003588802,ENSE00001322267,ENSE00001314694,ENSE00001306379,ENSE00001324059,ENSE00003553876,ENSE00003627060,ENSE00001307523,ENSE00001295680,ENSE00003628760,ENSE00003691935,ENSE00003573884,ENSE00001297467,ENSE00001303363,ENSE00003509910,ENSE00003673520,ENSE00003620253,ENSE00003692388,ENSE00003477118,ENSE00003561584,ENSE00003623915,ENSE00003525660,ENSE00003519416,ENSE00003658638,ENSE00002526086	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	57128965-57129031,57138459-57138581,57141374-57141511,57143679-57143798,57144972-57145100,57145227-57145490,57154208-57154370,57154479-57154701,57156094-57156283,57156777-57156920,57158402-57158638,57159825-57160005,57160893-57161115,57162317-57162518,57162858-57162983,57165805-57165945,57166084-57166209,57166930-57167046,57167444-57167524,57169140-57169307,57173168-57173350,57173780-57173980,57175460-57175705,57175909-57176106,57177041-57177245,57177427-57177591,57178359-57178603,57178890-57179021,57179329-57179556,57179782-57179956,57180047-57180141,57180330-57180479,57180667-57180807,57181157-57181291,57183379-57183510,57183775-57183909,57184085-57184214,57184326-57184452,57184839-57184990,57185081-57185205,57185531-57185908,57187267-57187456,57190805-57191009,57191320-57191512,57192845-57192970,57193176-57193304,57193566-57193685,57193899-57194012,57194354-57194503,57194577-57194699,57194985-57195101,57195271-57195399,57195658-57195780,57195863-57196003,57196087-57196277,57196982-57197165,57197299-57197384,57197545-57197664,57198156-57198343,57198465-57198670,57199212-57199400,57199877-57200025,57200442-57200535,57200699-57200815,57201034-57201153,57201497-57201619,57201780-57201905,57202421-57202537,57203181-57203287,57203389-57203521,57204410-57204529,57204627-57204749,57205109-57205249,57205351-57205485,57205558-57205677,57206473-57206741,57208038-57208216,57208711-57208817,57209083-57209199,57209692-57209868,57210029-57210169,57210307-57210480,57210718-57210879,57211176-57211350,57211487-57211588,57211750-57211814,57211927-57212017,57212117-57212261,57212415-57212555
12	57197313	57199288	1	DUF5050	110.1	57197313-57197384,57197545-57197664,57198156-57198343,57198465-57198670,57199212-57199288	PF16472	http://pfam.sanger.ac.uk/family?acc=PF16472
12	57169184	57169297	1	LDrepeatLR_classA_rpt	947.7	57169184-57169297	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57193574	57193681	1	LDrepeatLR_classA_rpt	947.7	57193574-57193681	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57204412	57204528	1	LDrepeatLR_classA_rpt	947.7	57204412-57204528	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57202426	57202536	1	LDrepeatLR_classA_rpt	947.7	57202426-57202536	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57200707	57200814	1	LDrepeatLR_classA_rpt	947.7	57200707-57200814	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57166932	57167045	1	LDrepeatLR_classA_rpt	947.7	57166932-57167045	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57201505	57201618	1	LDrepeatLR_classA_rpt	947.7	57201505-57201618	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
12	57184084	57184206	1	LDLR_classB_rpt	688.1	57184084-57184206	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57208215	57209099	1	LDLR_classB_rpt	688.1	57208215-57208216,57208711-57208817,57209083-57209099	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57160897	57161037	1	LDLR_classB_rpt	688.1	57160897-57161037	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57187455	57190931	1	LDLR_classB_rpt	688.1	57187455-57187456,57190805-57190931	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57177115	57177237	1	LDLR_classB_rpt	688.1	57177115-57177237	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57177431	57177559	1	LDLR_classB_rpt	688.1	57177431-57177559	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57184213	57184449	1	LDLR_classB_rpt	688.1	57184213-57184214,57184326-57184449	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57190938	57191367	1	LDLR_classB_rpt	688.1	57190938-57191009,57191320-57191367	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57159869	57159997	1	LDLR_classB_rpt	688.1	57159869-57159997	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57209109	57209714	1	LDLR_classB_rpt	688.1	57209109-57209199,57209692-57209714	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57208086	57208208	1	LDLR_classB_rpt	688.1	57208086-57208208	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
12	57179469	57179816	1	LDLR_classB_rpt	688.1	57179469-57179556,57179782-57179816	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
