#>P	ENSG00000148400	ENST00000277541	ENSP00000277541	9	136496074	136545786	-1	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
#>E	ENSE00001247584,ENSE00000985049,ENSE00000985048,ENSE00000985047,ENSE00000985046,ENSE00000985045,ENSE00000985044,ENSE00003681600,ENSE00000985042,ENSE00000985041,ENSE00000985040,ENSE00000985039,ENSE00000985038,ENSE00000985037,ENSE00000985036,ENSE00000985035,ENSE00000985034,ENSE00000985033,ENSE00000985032,ENSE00000985031,ENSE00000985030,ENSE00000985029,ENSE00000985028,ENSE00000985027,ENSE00000985026,ENSE00000985025,ENSE00000985024,ENSE00000985023,ENSE00000985022,ENSE00001378880,ENSE00000985020,ENSE00001042401,ENSE00001124718,ENSE00001247593	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	136496071-136497558,136498899-136498996,136499112-136499259,136500552-136500847,136501748-136501913,136502001-136502088,136502272-136502488,136503182-136503330,136504673-136505104,136505310-136505881,136506527-136506639,136506716-136506973,136507305-136507437,136507955-136508139,136508232-136508385,136508870-136509071,136509733-136509961,136510653-136510805,136511152-136511271,136513021-136513134,136513392-136513537,136514510-136514702,136515290-136515400,136515483-136515716,136515981-136516094,136517272-136517385,136517752-136517937,136518137-136518292,136518591-136518824,136519443-136519565,136522850-136523188,136523717-136523979,136544024-136544102,136545726-136545786
9	136496122	136496301	-1	DUF3454_notch	88.4	136496122-136496301	PF11936	http://pfam.sanger.ac.uk/family?acc=PF11936
9	136506828	136506911	-1	EGF-like_dom	649.4	136506828-136506911	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136518820	136519527	-1	EGF-like_dom	649.4	136518820-136518824,136519443-136519527	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136510801	136511242	-1	EGF-like_dom	649.4	136510801-136510805,136511152-136511242	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136508281	136508370	-1	EGF-like_dom	649.4	136508281-136508370	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136516084	136517347	-1	EGF-like_dom	649.4	136516084-136516094,136517272-136517347	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136514584	136514673	-1	EGF-like_dom	649.4	136514584-136514673	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136511267	136513105	-1	EGF-like_dom	649.4	136511267-136511271,136513021-136513105	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136523832	136523933	-1	EGF-like_dom	649.4	136523832-136523933	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136523070	136523162	-1	EGF-like_dom	649.4	136523070-136523162	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136508990	136509743	-1	EGF-like_dom	649.4	136508990-136509071,136509733-136509743	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136514698	136515371	-1	EGF-like_dom	649.4	136514698-136514702,136515290-136515371	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136515592	136515678	-1	EGF-like_dom	649.4	136515592-136515678	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136509885	136510662	-1	EGF-like_dom	649.4	136509885-136509961,136510653-136510662	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136517372	136517827	-1	EGF-like_dom	649.4	136517372-136517385,136517752-136517827	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136518291	136518675	-1	EGF-like_dom	649.4	136518291-136518292,136518591-136518675	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136506972	136507389	-1	EGF-like_dom	649.4	136506972-136506973,136507305-136507389	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136513127	136513476	-1	EGF-like_dom	649.4	136513127-136513134,136513392-136513476	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136508876	136508968	-1	EGF-like_dom	649.4	136508876-136508968	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136515393	136515567	-1	EGF-like_dom	649.4	136515393-136515400,136515483-136515567	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136519552	136522928	-1	EGF-like_dom	649.4	136519552-136519565,136522850-136522928	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136508042	136508119	-1	EGF-like_dom	649.4	136508042-136508119	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136515703	136516056	-1	EGF-like_dom	649.4	136515703-136515716,136515981-136516056	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136502469	136504680	-1	Notch_NODP_dom	80.7	136502469-136502488,136503182-136503330,136504673-136504680	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
9	136504828	136504995	-1	Notch_NOD_dom	87.8	136504828-136504995	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
9	136517858	136518158	-1	EGF-like_Ca-bd_dom	169.9	136517858-136517937,136518137-136518158	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	136510687	136510788	-1	EGF-like_Ca-bd_dom	169.9	136510687-136510788	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	136518703	136518807	-1	EGF-like_Ca-bd_dom	169.9	136518703-136518807	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	136522953	136523060	-1	EGF-like_Ca-bd_dom	169.9	136522953-136523060	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
