#>P	ENSG00000066279	ENST00000367409	ENSP00000356379	1	197084327	197146437	-1	abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048]
#>E	ENSE00001278129,ENSE00000791074,ENSE00000791073,ENSE00000791072,ENSE00000791071,ENSE00001278060,ENSE00000791069,ENSE00000468981,ENSE00000791068,ENSE00000999409,ENSE00001277893,ENSE00001067766,ENSE00001067770,ENSE00001067760,ENSE00001277977,ENSE00001277986,ENSE00001277993,ENSE00001067777,ENSE00001067780,ENSE00001067783,ENSE00001067786,ENSE00001067767,ENSE00003588360,ENSE00001419954,ENSE00001277906,ENSE00001277916,ENSE00001277921,ENSE00001444450	0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	197084324-197084426,197086803-197086972,197088256-197088432,197089930-197090084,197090196-197090388,197090850-197091041,197091907-197092056,197093052-197093261,197094084-197094180,197095998-197096164,197100431-197105185,197117789-197117983,197121915-197122043,197122159-197122301,197122388-197122595,197124110-197124331,197124870-197124955,197125046-197125191,197128490-197128665,197129187-197129317,197129915-197130056,197132285-197132352,197133350-197133595,197135096-197135242,197139767-197139871,197142331-197143810,197143957-197144100,197146141-197146437
1	197143996	197146329	-1	ASH	116.3	197143996-197144100,197146141-197146329	PF15780	http://pfam.sanger.ac.uk/family?acc=PF15780
1	197101970	197102029	-1	IQ_motif_EF-hand-BS	454.7	197101970-197102029	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103566	197103625	-1	IQ_motif_EF-hand-BS	454.7	197103566-197103625	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197117849	197117905	-1	IQ_motif_EF-hand-BS	454.7	197117849-197117905	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103716	197103772	-1	IQ_motif_EF-hand-BS	454.7	197103716-197103772	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103938	197103997	-1	IQ_motif_EF-hand-BS	454.7	197103938-197103997	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197101601	197101654	-1	IQ_motif_EF-hand-BS	454.7	197101601-197101654	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197101199	197101255	-1	IQ_motif_EF-hand-BS	454.7	197101199-197101255	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104442	197104495	-1	IQ_motif_EF-hand-BS	454.7	197104442-197104495	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104004	197104066	-1	IQ_motif_EF-hand-BS	454.7	197104004-197104066	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104799	197104855	-1	IQ_motif_EF-hand-BS	454.7	197104799-197104855	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103278	197103340	-1	IQ_motif_EF-hand-BS	454.7	197103278-197103340	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197092054	197093105	-1	IQ_motif_EF-hand-BS	454.7	197092054-197092056,197093052-197093105	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197101319	197101378	-1	IQ_motif_EF-hand-BS	454.7	197101319-197101378	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103062	197103118	-1	IQ_motif_EF-hand-BS	454.7	197103062-197103118	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197101127	197101186	-1	IQ_motif_EF-hand-BS	454.7	197101127-197101186	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103665	197103706	-1	IQ_motif_EF-hand-BS	454.7	197103665-197103706	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197102186	197102248	-1	IQ_motif_EF-hand-BS	454.7	197102186-197102248	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104226	197104279	-1	IQ_motif_EF-hand-BS	454.7	197104226-197104279	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197105015	197105068	-1	IQ_motif_EF-hand-BS	454.7	197105015-197105068	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103497	197103559	-1	IQ_motif_EF-hand-BS	454.7	197103497-197103559	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103791	197103844	-1	IQ_motif_EF-hand-BS	454.7	197103791-197103844	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197090886	197090939	-1	IQ_motif_EF-hand-BS	454.7	197090886-197090939	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197102912	197102965	-1	IQ_motif_EF-hand-BS	454.7	197102912-197102965	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197102405	197102458	-1	IQ_motif_EF-hand-BS	454.7	197102405-197102458	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197093199	197093258	-1	IQ_motif_EF-hand-BS	454.7	197093199-197093258	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197103128	197103187	-1	IQ_motif_EF-hand-BS	454.7	197103128-197103187	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197102036	197102098	-1	IQ_motif_EF-hand-BS	454.7	197102036-197102098	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197100614	197100670	-1	IQ_motif_EF-hand-BS	454.7	197100614-197100670	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197096129	197100451	-1	IQ_motif_EF-hand-BS	454.7	197096129-197096164,197100431-197100451	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
