#>P	ENSG00000229353	ENST00000424713	ENSP00000387438	CHR_HSCHR6_MHC_QBL_CTG1	31998994	32043729	-1	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]
#>E	ENSE00003651578,ENSE00003624854,ENSE00003522556,ENSE00003656466,ENSE00003552409,ENSE00003520021,ENSE00003668046,ENSE00003639116,ENSE00003619837,ENSE00003526237,ENSE00003574360,ENSE00003712389,ENSE00003604043,ENSE00003546599,ENSE00001677965,ENSE00001654472,ENSE00001759585,ENSE00001719252,ENSE00001718260,ENSE00001596954,ENSE00001792396,ENSE00001738254,ENSE00001757928,ENSE00001727557,ENSE00001683238,ENSE00001706595,ENSE00003623356,ENSE00001759577,ENSE00003598369,ENSE00003661980,ENSE00003567709,ENSE00003673885,ENSE00003554619,ENSE00003607734,ENSE00001665472,ENSE00001653777,ENSE00001649595,ENSE00001675088	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31998991-31999092,31999413-31999576,31999654-31999815,31999908-32000004,32000097-32000248,32000341-32000473,32000593-32000723,32000817-32000960,32001079-32001198,32001391-32001534,32001649-32001771,32002023-32002358,32002648-32002968,32003817-32004098,32005376-32005654,32006005-32006292,32006912-32007229,32007640-32007930,32010312-32010635,32011030-32011320,32013493-32013816,32014228-32014545,32015700-32016032,32019038-32019361,32019798-32020124,32022462-32022758,32025286-32025609,32026015-32026332,32026447-32026761,32027178-32027486,32027752-32028039,32029614-32029922,32031271-32031576,32036645-32036977,32038979-32039284,32039647-32039937,32042024-32042320,32043361-32043729
CHR_HSCHR6_MHC_QBL_CTG1	31999020	32000230	-1	Fibrinogen_a/b/g_C_dom	303.7	31999020-31999092,31999413-31999576,31999654-31999815,31999908-32000004,32000097-32000230	PF00147	http://pfam.sanger.ac.uk/family?acc=PF00147
CHR_HSCHR6_MHC_QBL_CTG1	32026483	32026695	-1	FN3_dom	1279.8	32026483-32026695	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32003862	32004065	-1	FN3_dom	1279.8	32003862-32004065	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32014249	32014476	-1	FN3_dom	1279.8	32014249-32014476	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32031307	32031519	-1	FN3_dom	1279.8	32031307-32031519	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32000377	32000714	-1	FN3_dom	1279.8	32000377-32000473,32000593-32000714	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32019074	32019283	-1	FN3_dom	1279.8	32019074-32019283	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32001427	32001762	-1	FN3_dom	1279.8	32001427-32001534,32001649-32001762	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32039683	32039895	-1	FN3_dom	1279.8	32039683-32039895	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32026051	32026263	-1	FN3_dom	1279.8	32026051-32026263	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32002074	32002313	-1	FN3_dom	1279.8	32002074-32002313	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32007673	32007888	-1	FN3_dom	1279.8	32007673-32007888	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32019831	32020046	-1	FN3_dom	1279.8	32019831-32020046	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32000853	32001186	-1	FN3_dom	1279.8	32000853-32000960,32001079-32001186	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32036681	32036890	-1	FN3_dom	1279.8	32036681-32036890	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32010348	32010557	-1	FN3_dom	1279.8	32010348-32010557	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32015736	32015945	-1	FN3_dom	1279.8	32015736-32015945	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32011051	32011278	-1	FN3_dom	1279.8	32011051-32011278	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_QBL_CTG1	32027217	32027423	-1	FN3_dom	1279.8	32027217-32027423	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
