#>P	ENSG00000107611	ENST00000377833	ENSP00000367064	10	16824978	17129765	-1	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]
#>E	ENSE00001475273,ENSE00001800480,ENSE00000925926,ENSE00000925927,ENSE00001164027,ENSE00000925929,ENSE00001738727,ENSE00000985463,ENSE00000614426,ENSE00000614425,ENSE00000614424,ENSE00000503895,ENSE00000692563,ENSE00000925931,ENSE00000925932,ENSE00000925933,ENSE00000925934,ENSE00001796817,ENSE00001795343,ENSE00001651724,ENSE00001715158,ENSE00001635703,ENSE00001725876,ENSE00001745825,ENSE00001799112,ENSE00001098716,ENSE00000985460,ENSE00000985459,ENSE00000985458,ENSE00000985457,ENSE00000985456,ENSE00001192896,ENSE00000985454,ENSE00000985453,ENSE00000985452,ENSE00000985451,ENSE00000985450,ENSE00000985449,ENSE00000985448,ENSE00000985447,ENSE00000815979,ENSE00001283594,ENSE00000985445,ENSE00000985444,ENSE00000985443,ENSE00000985442,ENSE00000985441,ENSE00000985440,ENSE00000985439,ENSE00000985438,ENSE00000985437,ENSE00001164296,ENSE00000692707,ENSE00000692708,ENSE00000692710,ENSE00000925944,ENSE00000925947,ENSE00000692716,ENSE00000925951,ENSE00000692719,ENSE00000925957,ENSE00000925961,ENSE00000692724,ENSE00000985435,ENSE00000815992,ENSE00000692728,ENSE00001475420	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16824975-16825082,16828805-16829040,16831252-16831417,16835014-16835195,16836235-16836382,16840330-16840535,16840885-16841047,16851235-16851443,16869636-16869853,16874374-16874503,16876897-16877097,16888417-16888566,16890371-16890527,16898996-16899183,16900625-16900850,16901338-16901459,16903966-16904115,16906203-16906409,16907508-16907679,16913811-16913992,16915032-16915172,16915821-16916030,16918622-16918800,16919963-16920137,16925241-16925424,16925584-16925774,16928157-16928303,16933087-16933284,16937592-16937784,16938963-16939147,16940032-16940237,16947235-16947367,16948478-16948606,16950001-16950111,16952276-16952389,16954389-16954548,16982484-16982653,16984105-16984279,16990334-16990515,17019833-17019983,17041033-17041220,17043827-17043983,17045007-17045188,17045934-17046094,17047414-17047603,17065508-17065638,17068064-17068280,17068605-17068770,17071426-17071604,17071827-17071971,17084271-17084461,17085597-17085759,17088164-17088345,17100005-17100239,17103125-17103237,17104419-17104605,17105457-17105575,17109640-17109735,17110919-17111050,17114027-17114189,17115471-17115597,17122795-17122898,17123588-17123689,17126761-17126799,17127829-17127924,17129121-17129250,17129644-17129765
10	17105526	17109694	-1	EGF_dom	47.4	17105526-17105575,17109640-17109694	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
10	16984124	16990513	-1	CUB_dom	2247.6	16984124-16984279,16990334-16990513	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16836272	16840530	-1	CUB_dom	2247.6	16836272-16836382,16840330-16840530	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	17043834	17045186	-1	CUB_dom	2247.6	17043834-17043983,17045007-17045186	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	17100024	17103235	-1	CUB_dom	2247.6	17100024-17100239,17103125-17103235	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16890378	16899181	-1	CUB_dom	2247.6	16890378-16890527,16898996-16899181	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16954396	16982651	-1	CUB_dom	2247.6	16954396-16954548,16982484-16982651	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16915048	16916025	-1	CUB_dom	2247.6	16915048-16915172,16915821-16916025	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16903976	16906407	-1	CUB_dom	2247.6	16903976-16904115,16906203-16906407	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16876907	16888564	-1	CUB_dom	2247.6	16876907-16877097,16888417-16888564	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16900644	16901457	-1	CUB_dom	2247.6	16900644-16900850,16901338-16901457	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16831274	16835193	-1	CUB_dom	2247.6	16831274-16831417,16835014-16835193	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	17065530	17068278	-1	CUB_dom	2247.6	17065530-17065638,17068064-17068278	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16937641	16939130	-1	CUB_dom	2247.6	16937641-16937784,16938963-16939130	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	16948500	16952387	-1	CUB_dom	2247.6	16948500-16948606,16950001-16950111,16952276-16952387	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
