#>P	ENSG00000168702	ENST00000389484	ENSP00000374135	2	140233189	142130729	-1	LDL receptor related protein 1B [Source:HGNC Symbol;Acc:HGNC:6693]
#>E	ENSE00001513461,ENSE00001182289,ENSE00001299374,ENSE00001132045,ENSE00001132051,ENSE00001132056,ENSE00001132065,ENSE00001153896,ENSE00001182326,ENSE00001153862,ENSE00001131995,ENSE00001131999,ENSE00001132004,ENSE00001132013,ENSE00001132019,ENSE00001132026,ENSE00001132029,ENSE00001132034,ENSE00001182394,ENSE00001182403,ENSE00001328871,ENSE00001182417,ENSE00001182423,ENSE00001182430,ENSE00001182437,ENSE00001153839,ENSE00001131958,ENSE00001131968,ENSE00001131978,ENSE00001131982,ENSE00001131988,ENSE00001153849,ENSE00001153824,ENSE00001131904,ENSE00001131912,ENSE00001131919,ENSE00001131923,ENSE00001131930,ENSE00001131937,ENSE00001131947,ENSE00001153830,ENSE00001182504,ENSE00001182509,ENSE00001182513,ENSE00001153804,ENSE00001131890,ENSE00001131896,ENSE00001153813,ENSE00001182529,ENSE00001182536,ENSE00001316880,ENSE00001131885,ENSE00001182554,ENSE00001182559,ENSE00001182564,ENSE00001182569,ENSE00001182573,ENSE00001182578,ENSE00001182584,ENSE00001153769,ENSE00001131802,ENSE00001131810,ENSE00001312881,ENSE00001182608,ENSE00001131825,ENSE00001131832,ENSE00001131837,ENSE00001131845,ENSE00001131848,ENSE00001131853,ENSE00001131860,ENSE00001290608,ENSE00001505998,ENSE00001325750,ENSE00001300429,ENSE00001323698,ENSE00001131786,ENSE00001327802,ENSE00001131795,ENSE00001153759,ENSE00001182645,ENSE00001320558,ENSE00001182650,ENSE00001182652,ENSE00001302656,ENSE00001124874,ENSE00001124879,ENSE00001151431,ENSE00001293480,ENSE00003625400,ENSE00001794248	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	140233186-140233326,140234786-140234884,140238152-140238296,140239442-140239532,140247086-140247162,140270242-140270346,140274424-140274598,140297808-140297969,140314935-140315099,140321963-140322088,140323893-140324066,140325762-140325878,140334453-140334559,140335615-140335838,140350797-140351038,140352953-140353072,140356342-140356476,140357979-140358116,140358821-140358946,140364661-140364783,140370710-140370842,140371179-140371285,140373008-140373137,140378180-140378286,140385893-140386009,140442504-140442623,140444330-140444449,140444563-140444679,140450568-140450661,140456455-140456603,140457463-140457651,140475138-140475337,140485343-140485524,140487617-140487739,140492608-140492693,140495565-140495748,140501687-140501874,140502963-140503103,140506796-140506918,140509928-140510056,140514653-140514772,140516889-140517011,140525844-140525993,140526237-140526350,140534021-140534140,140536581-140536709,140540973-140541098,140541779-140541971,140598631-140598835,140601450-140601639,140700250-140700621,140701721-140701845,140702141-140702292,140702427-140702553,140715973-140716102,140716682-140716816,140769213-140769344,140770881-140771006,140776098-140776238,140813657-140813806,140839991-140840085,140840918-140841092,140850102-140850329,140851652-140851783,140867590-140867834,140868099-140868263,140883817-140884021,140886138-140886335,140902920-140903165,140907877-140908077,140922965-140923147,140950235-140950402,140951860-140951940,140982160-140982276,140989532-140989657,140993995-140994135,141005335-141005457,141013556-141013745,141015696-141015915,141019922-141020102,141048986-141049222,141055116-141055259,141058883-141059054,141062051-141062273,141188421-141188583,141229183-141229440,141247226-141247354,141254522-141254641,141480396-141480533,141810279-141810401,142130648-142130729
2	140457572	140492679	-1	DUF5050	126.4	140457572-140457651,140475138-140475337,140485343-140485524,140487617-140487739,140492608-140492679	PF16472	http://pfam.sanger.ac.uk/family?acc=PF16472
2	141480532	141810390	-1	LDrepeatLR_classA_rpt	919	141480532-141480533,141810279-141810390	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
2	140950365	140951932	-1	LDrepeatLR_classA_rpt	919	140950365-140950402,140951860-140951932	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
2	140444564	140444671	-1	LDrepeatLR_classA_rpt	919	140444564-140444671	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
2	140364668	140364772	-1	LDrepeatLR_classA_rpt	919	140364668-140364772	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
2	141247239	141247355	-1	EGF-like_Ca-bd_dom	41.8	141247239-141247355	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	140352963	140353073	-1	EGF-like_Ca-bd_dom	41.8	140352963-140353073	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	140841058	140850186	-1	LDLR_classB_rpt	573.6	140841058-140841092,140850102-140850186	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	141188429	141188551	-1	LDLR_classB_rpt	573.6	141188429-141188551	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140868131	140868259	-1	LDLR_classB_rpt	573.6	140868131-140868259	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140598709	140601451	-1	LDLR_classB_rpt	573.6	140598709-140598835,140601450-140601451	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140325862	140334558	-1	LDLR_classB_rpt	573.6	140325862-140325878,140334453-140334558	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140883825	140883947	-1	LDLR_classB_rpt	573.6	140883825-140883947	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140702430	140715974	-1	LDLR_classB_rpt	573.6	140702430-140702553,140715973-140715974	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	141019930	141020061	-1	LDLR_classB_rpt	573.6	141019930-141020061	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	141020068	141049073	-1	LDLR_classB_rpt	573.6	141020068-141020102,141048986-141049073	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	141015777	141015911	-1	LDLR_classB_rpt	573.6	141015777-141015911	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140715981	140716103	-1	LDLR_classB_rpt	573.6	140715981-140716103	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
2	140297926	140314983	-1	EGF-like_dom	26.6	140297926-140297969,140314935-140314983	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	140495686	140501695	-1	cEGF	64.5	140495686-140495748,140501687-140501695	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
