#>P	ENSG00000148357	ENST00000624552	ENSP00000485357	9	130265882	130433690	1	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
#>E	ENSE00003759665,ENSE00001785273,ENSE00001697266,ENSE00001616719,ENSE00001612229,ENSE00001801747,ENSE00001617437,ENSE00001625829,ENSE00001713403,ENSE00001783839,ENSE00001654315,ENSE00001801119,ENSE00001741630,ENSE00001655564,ENSE00001645318,ENSE00003736411,ENSE00003737168,ENSE00003751353,ENSE00003754676,ENSE00003747723,ENSE00003732886,ENSE00003739522,ENSE00003758200,ENSE00003756245,ENSE00003758798,ENSE00003755472,ENSE00001668741,ENSE00001705614,ENSE00001747889,ENSE00001690775,ENSE00001725516,ENSE00001607288,ENSE00001729778,ENSE00001597348,ENSE00001644680,ENSE00001659180,ENSE00001645518,ENSE00001797490,ENSE00003758280,ENSE00003755059,ENSE00003756283,ENSE00003759778,ENSE00003757791,ENSE00003760209,ENSE00003756682,ENSE00003756362,ENSE00001860527,ENSE00001817670,ENSE00003758566,ENSE00003759898,ENSE00003755188,ENSE00003758382,ENSE00003755851,ENSE00003760215,ENSE00003759221,ENSE00003758080,ENSE00003759024,ENSE00003639979,ENSE00003621372,ENSE00003627423,ENSE00001925763,ENSE00001911097,ENSE00001882454,ENSE00001884742,ENSE00001868878,ENSE00001846860,ENSE00003759411,ENSE00003759501,ENSE00003755309,ENSE00003759746,ENSE00003760341,ENSE00003759634,ENSE00003759519,ENSE00003756447,ENSE00003759793,ENSE00003755948,ENSE00003759183,ENSE00003758799,ENSE00003758579,ENSE00003756045,ENSE00003759268,ENSE00003755732,ENSE00003757125,ENSE00003759317,ENSE00001798368,ENSE00001720314,ENSE00001798131,ENSE00001755203,ENSE00001779276,ENSE00001700226,ENSE00001605965,ENSE00001785355,ENSE00001715350,ENSE00001658117,ENSE00001600750,ENSE00001110474,ENSE00000984678,ENSE00001595429	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	130265882-130266137,130284603-130284673,130285158-130285316,130286188-130286310,130294855-130295026,130295666-130295772,130296674-130296794,130299025-130299288,130302857-130303001,130303487-130303608,130304730-130305002,130306129-130306270,130306811-130306938,130307453-130307566,130309912-130310061,130319495-130319695,130320356-130320451,130320776-130320903,130321787-130321931,130325595-130325707,130325811-130325970,130327310-130327475,130337894-130338021,130341111-130341365,130342350-130342436,130347166-130347360,130348545-130348675,130348984-130349131,130349537-130349663,130351423-130351577,130352927-130353205,130354763-130355044,130355746-130355854,130356088-130356257,130357834-130357988,130358390-130358486,130359319-130359414,130360428-130360604,130362008-130362165,130362867-130362990,130364714-130364889,130365631-130365727,130365876-130365995,130368276-130368437,130369570-130369851,130370964-130371131,130372294-130372407,130373038-130373124,130374502-130374693,130375563-130375736,130375876-130375989,130376516-130376658,130377649-130377799,130379249-130379467,130382184-130382297,130382679-130382866,130383504-130383600,130384373-130384534,130384685-130384798,130385560-130385762,130386443-130386524,130388409-130388540,130390977-130391120,130391204-130391363,130391450-130391574,130391935-130392118,130393212-130393309,130393742-130394008,130394385-130394575,130395027-130395108,130395211-130395347,130395924-130396065,130396169-130396313,130397528-130397655,130398608-130398707,130399511-130399632,130400783-130400947,130402789-130402896,130403194-130403328,130403741-130403875,130404869-130405059,130405955-130406168,130407571-130407705,130408743-130408933,130410571-130410652,130418772-130419041,130422577-130422726,130424776-130424913,130425009-130425130,130425687-130425924,130427313-130427375,130427497-130427619,130428358-130428489,130429557-130429685,130430284-130430604,130431367-130431486,130432429-130432555,130433348-130433693
9	130431426	130432439	1	cEGF	104.6	130431426-130431486,130432429-130432439	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
9	130319500	130320441	1	Ig_I-set	2119.8	130319500-130319695,130320356-130320441	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130395273	130396061	1	Ig_I-set	2119.8	130395273-130395347,130395924-130396061	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130357887	130358482	1	Ig_I-set	2119.8	130357887-130357988,130358390-130358482	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130408790	130410642	1	Ig_I-set	2119.8	130408790-130408933,130410571-130410642	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130342397	130347356	1	Ig_I-set	2119.8	130342397-130342436,130347166-130347356	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130369599	130369847	1	Ig_I-set	2119.8	130369599-130369847	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	130429556	130429681	1	EGF-like_Ca-bd_dom	160.1	130429556-130429681	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	130430283	130430402	1	EGF-like_Ca-bd_dom	160.1	130430283-130430402	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	130427496	130427615	1	EGF-like_Ca-bd_dom	160.1	130427496-130427615	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
9	130428357	130428470	1	EGF-like_Ca-bd_dom	160.1	130428357-130428470	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
